字段1_文本,字段1_链接,字段2,时间,字段3,时间1
ATAKing,https://www.dongchedi.com/user/3562867159208541,外观💯满分，富有力量感的肌肉线条，溜背的视觉效果，个性的三柱尾灯和马标，相信购买电马的人绝大多数都是被超高的颜值征服的。 内饰虽然没有什么豪华感但是绝对算得上是知性美。 配置无可挑剔，该有的都有，唯一有点不理解的是实用性超高的360全景影像捆绑在1.5万的升级包里，让22年订车的人难以抉择。 空间只能说够用，为了追求长车头的视觉效果不得不牺牲车内空间，美系一如既往的空间设计能力，扶手箱等位置空间实用性相比日系德系总是差一些。 续航中规中矩，15度的气温市区通勤480㎞，怨不得电马虚标，只能怪新能源车企都在使用CLTC这种坑爹的标准。 如果可以的话，车机想给0分，不谈什么智能化噱头，基本的体验太差了，开机一分钟卡顿严重，经常响收音机，难以登录的人脸识别，车上的蓝牙时不时会自动关闭等等各种bug层出不穷，并且连问题修复的OTA都迟迟不见踪影。如果做不好或者压根没想好好做车机，不如像海外版给大家保留Carplay选项，就冲这车机，真的让人没法给朋友推荐。 驾驶感受不错，除了刹车前段偏硬之外没什么槽点。 总结一下就是一台综合素质一般但是个性鲜明的车，你买我不推荐，但是给我机会我还是会选择。,2022-05-05,青岛,
黎拖拖,https://www.dongchedi.com/user/915251977268920,谈谈选择电马的原因吧： （外观）首先是外观，这个因人而异吧，对比Model Y这种偏科技感的车，我和女朋友都比较喜欢电马这种沉稳又比较霸气的外观，而且野马标很帅，尾灯部分的设计我很喜欢，飞岩灰是我的菜 （实用性）成家的人买车都会考虑这点，实车看上去空间和预想的差不了太多，驾驶空间够，乘坐空间也大，而且电马有个前备箱可以排水，家用用处挺大。而且福特的智能系统实用性更高，侧位预警对于我女朋友这种开车小白来说帮助很大，还有一个上坡辅助功能，上坡不踩刹车也不会溜车，安全性到位。 动力和操控这方面要求不高，试驾总体来说动力足，操控也精准，底盘调校这块是福特强项，也不作多点评。 座椅的舒适度我是非常认可的，坐起来很软，美中不足的是后排凹陷的设计有点不太习惯，可能要去多适应适应，不过传统车企的实力还是毋庸置疑的，下定等车了,2021-12-30,,
alanduu,https://www.dongchedi.com/user/4459251283015476,【最满意】 毫无疑问是颜值和驾驶操作性，我本身就比较喜欢车头比较长的车型，这辆车基本长在了我的审美上 【最不满意】 一开始是车机，功能和操作都比较单一，但是官方还是比较听取消费者的意见，在不断优化，现在已经很好了，如果界面可以美化下就完美了 【驾驶感受】 这个本身就是这个车型的卖点，转向反馈很及时，底盘也很优秀，试驾第一次基本已经被拿下 【提车价格】 当时没有什么大的优惠，但是不影响我拿下他 【电耗】 一度电开10公里，名不虚传，夏天我的续航可以超过500公里，冬天也基本维持在400公里左右，基本出行都可以满足 【乘坐体验】 座椅在我开过的车里算是优秀的，我喜欢软一点的座椅，坐进去会有一种包围感，后排座椅有点斜度，符合人体工程，还是比较舒适的 【动力表现】 电车的动力就不能成为谈论的重点了，算是“流氓”，在城市还是高速开起来都挺爽 【销售态度】 销售小哥还是给我留下比较深的印象的，很阳光，也很热情，也是我买车的原因之一,2024-02-29,杭州,
trisyi,https://www.dongchedi.com/user/1090344057841827,"看过model y，id4，电马，最后定了电马。先说id4，车机功能太简单，加速太慢，底盘避震偏硬，内饰较老气，座椅不够舒服，外观偏成熟，功能方面，L2够用。

model y，续航60度，400km，高速三百出头，续航太差。空间不错，车机优越，驾驶品质不差，后排乘坐体验一般，隔音不行，内饰等于0，细节做工经不起考究，等待时间较长，入门版快32w，相对电马长续航豪华版，没有优势。

最后说电马，外形出众，回头率高，续航500km，高速400km，满足要求。内饰选灰色，虽然设计传统，但层次感好，材质不错，座椅非常舒适。头部空间，我180，我爸183，完全够。缺点，没有carplay，百度车机较为邋遢，但速度可以，算是够用。驾驶体验很好，底盘质感也好。
综合以上，选电马后驱豪华版，从大定到提车，十几天。

效率很高。销售总体体验不错，希望售后ota跟上",2022-04-27,福州,
夏虫小布丁,https://www.dongchedi.com/user/1469420888666508,"【续航】提车回来跑了200多公里高速，到现在开了一周，昨夜充到90%，APP显示续航里程388km，按这个算充满大概430左右，这周气温几乎都在零下，空调22度基本全程开着，新车开的也比较作，也没刻意省电，毕竟家里有充电桩，续航不是太在意。

【最不满意】最不满意的就是APP了，简陋的不能再简陋了，功能又少又卡，手机钥匙就没好使过，敏感操作的短信提醒一会儿福特派一会儿林肯的，希望以后继续优化吧。

【购车经历】
5月份小定，10月11日20：05大定，1月8日完成提车，具体的不说了，还算比较幸运能首批提车，祝还在等车的各位车友都能尽早提车！
【空间表现】
空间表现家人都还是比较满意的，反正我开车，家人满意最重要",2022-01-16,青岛,
SLvision,https://www.dongchedi.com/user/71520623626,电马的空间表现中规中矩，由于美系车的一些设计元素，导致空间利用率不高，不过对于3人家庭来说足够用，动力方面长续航后驱6.5s的加速足够了，秒杀一众30-50万的家用车，如果追求动力，可以买GT版，3.65s。充电时间中规中矩，20%-80%快充30分钟左右。智能化方面比大部分同价位油车有优势，但是比特斯拉差很多，家用个人也觉得足够了。 整车驾驶感受非常好，底盘既不会很忽悠松散，也不会太过硬，给人很整的感觉，转向精准。提车后建议把胎压调整为270-280，适合日常代步。,2022-03-02,成都,
三岁就很帅oo,https://www.dongchedi.com/user/4076131103,"【空间表现】
一般吧 对标model y

【续航】
怎么说呢 正常通勤可以满足了 坐标广州 充满100%电量续航只有380km
【充电时间】
充电就真的不能不吐槽 毕竟没有专属的充电桩，通用的充电桩真是效率参差不齐，遇到效率高的快充30分钟可以到80%电量左右，遇到旧的充电桩一个半小时才能到80%，我也是想无力吐槽。

【智能化】
车机槽点多多 反正没亮点 够用（反正我觉得没有值得称赞的地方）
【最不满意】
要说最不满意就是车机了吧！！！
【购车经历】
购车没什么经历，一眼就被颜值打动，颜值党选它没错！
【驾驶感受】
底盘调校和驾驶操控绝对是这车的重中之重，买这车之前试驾过model y.和比亚迪汉，不是一个层面的感受。",2022-05-17,广州,
不拉迪落,https://www.dongchedi.com/user/3522516951,现在电车大部分都流线型，电马这种肌肉感的不多，外观我的最爱！特斯拉Y感觉屁股太高了，不是我得菜！后尾灯真的很传承！底盘很扎实！后驱很容易就漂移，目前还控制不好！音质很好(对比我得翼虎)。续航一般般，冬天360-380。现在春天目前16度左右有个450左右！ 车机有点二，没有小鹏的好，流畅度对比油车还是可以的，对比新能源算中等吧，这个价位的就更一般般了！不过我这个次低配的隔音都让我很意外，几乎听不到胎噪，风阻等。开了300多公里充了一次电，买的随车充普诺得的16A大概22个小时充满。小区不让安装充电桩有点坑爹。反正萝卜青菜个有所爱，买他就不后悔。回头率还可以，说28万很多人都不太相信，觉得要40万左右。哈哈哈哈,2022-03-25,南京,
从小就是秀儿,https://www.dongchedi.com/user/110980712333,"购车到提车一共一个月多时间，交车时间还是挺快
的。在车展上看的现车，一眼就相中了，然后预约了周惠惠上门试驾，也不近25公里左右。总体购车体验还不错，车衣最满意他的动力和外观，外观。后来自己改了很多，停完车总是去看一下。电马动力也是不错，市区超车 高速驾驶 动力随叫随到，空间也还行对于我来说够用了。总体来说车还是不错的，车还是不错的。

【空间表现】
空间还可以，我1.80的身高，坐着还是比较舒服的
【充电时间】
7kw家里慢充，一般充满九个小时左右
【驾驶感受】
操控还是不错的，得心应手
【智能化】
车机系统真的一般，相对于其他车。而且经常没叫它他还回应我，吓一跳",2022-10-10,南京,
安全是永远心存敬畏,https://www.dongchedi.com/user/1662889151960088,"咱也不赛车，就买个自己喜欢。智能化没有说的那么不堪。但也不算出彩。中规中矩。目前为止，驾驶感受和外观是最满意的。空间咱也觉得够。总体是咱心头好的车子。
电车么，注定是一个迭代的过程。买了安心开。
题外话：买任何东西，首选难道不是自己喜欢嘛？别人买啥，咱相信是因为他们喜欢，但咱不会因为很多人喜欢一个东西，咱也跟着去喜欢。

无论什么，非得自个喜欢才能长久。",2022-05-26,重庆,
励志当一条咸鱼的摩托,https://www.dongchedi.com/user/1183520939322615,朋友买的，借来试开了一下好牛👍🏻 家里开惯日系车，突然开了一下这个还有点不习惯，但真的好快，轻踩一下油门动力马上就来了！！！ 而且很喜欢这个音响，像我比较喜欢在车上听音乐，这个真的很绝！！！！而且很喜欢他这个外观 朋友买的是续航版的srds这个性能一样不在话下，很喜欢野马这个牌子，不过就是刹车不是很习惯，🉑️能我开惯的是日系车，这个刹车🉐️深踩一下才有感觉，就是不知道有没什么其他方面的问题，最近油价真的真的太贵了，也在考虑买纯电动 家里人说要买就买好一点的，福特电马🉑️以冲吗❓❓❓,2022-06-10,广州,
用户4600219480683,https://www.dongchedi.com/user/792069286663023,去年11月考虑买个电车，网上挑来挑去，感觉tsl m3p和电马比较有眼缘都约了试驾。先去试驾m3p，驾驶加速感受确实不错，个人比较胖感觉座椅还是有点挤，但大致还是满意的下定了。3天后本来以为只是走个过场到kkone试驾电马的gt，试驾车是一辆红色的，驾驶感受同样不错，座椅跟tsl比起来像个沙发，最终决定定电马。 整体购车感受： 优点： 1. 样子好看！高饱和度的掠星蓝车漆和车子的线条完全长在审美上，花瓣轮毂也很好看 2. 驾驶感受很好！加速轻快，比较线性，不会眩晕，关闭单踏板关闭自动启停无缝从油车切换 3. 续航够用，城市高速交替开起来不低于表显的9折，表显充满电大概460km 缺点：车机有点卡顿，等车时间太长了,2022-03-30,深圳,
Will9330,https://www.dongchedi.com/user/2291019281600699,深圳冬季续航360左右，不开空调。 人生第一辆车，无论是外观操控还是安全性，我都能给出很高的评价 心中的dream car也不促使我选择了这辆车。除了车机和续航表现略有不足之外，其他各方面都很满意，后悔没买长续航。 据说马上要换8155芯片，希望车机能改善吧，续航的话要看脚法了,2023-02-14,深圳,
与生活对位,https://www.dongchedi.com/user/501023402373896,为什么敢打这么高的分？因为没有最好，只有自己喜欢的才是最重要的！ 外观不多赘述，应该没有人质疑吧 空间方面： 用不完用不完用不完！重要的事情说三遍，前备箱没用，后备箱装了一个大箱子放烟酒就完事了，车内储物空间有点多，把老婆的化妆品都给放完了。目前没有小孩打算，所以，空间预留完全够用 内饰方面： 内饰个人觉得还行，毕竟...嗯怎么说呢，买不起BBA豪华车牌，老牌车企福特，内饰这样也可以接受嘛，毕竟用料是真心不错。 车机使用方面： 用起来挺顺手，90后，从小玩电脑长大，对这些东西不说很感兴趣，至少玩的明白！但是，相关的驾驶安全辅助功能，我还是很认真去了解的！毕竟安全大于天嘛！能力有限，长续和性能版没有实力，而且长续和性能的保险费也够咱们普通老百姓喝一壶了！ 驾驶感受： 之前有一辆代步车，没有对比没有伤害，动力，操控，配置真的是那辆起亚比不了的，这20来万花的值！！续航看图说话，满电380左右，重庆温度比较低，意料之中 重中之重： 老婆大人，喜欢！这才是真正的重点！不然，我怎么可能呢..... 回过神来，咱还得面对现实，努力赚钱！争取来个小baby,2022-02-24,重庆,
用户5765228277884,https://www.dongchedi.com/user/2735197953725629,作为一款mustang，对比其他电车，颜值直接顶满，操控和驾驶体验也时时刻刻体现出它是一款运动款车型。 空间上后背涂黑和后座椅稍微上翘的小心思也加大了车内空间，提高了舒适度。 续航来说中规中矩，619的标称能做到实际9折。而且传统大厂的实诚做到了表显掉电里程和实际里程相差不到5km。 智能化方面辅助驾驶没啥问题，深圳没有V2C这部分加分项用不了。和百度合作的车机是整车最拉跨的部分，但厂家整改的决心很强，总工直接打电话过来聊对这车机的不满和改进意见。期待首次OTA看整改的效果。 电桩部分也很有诚意，和不少运营商合作，在自带充电地图的电桩可以用积分换电用。不在充电地图里的电桩也会想办法加进来，在此特别感谢深圳这边交付团队的庄军峰和销售潘鑫，1个月内搞定我家楼下电桩加入充电地图的事。 最后晒下改完的车，加装小包围，小尾翼，拉花，轮毂烤黑，卡钳烤金色。,2022-03-20,深圳,
新能源风哥,https://www.dongchedi.com/user/3790710271916071,外观不多说，见仁见智，肌肉感爆棚，Mustang经典元素传承。动力强劲，305匹马力，三种驾驶模式：细语、入胜、不羁，细语模式动力已经十分强劲够用了，城市道路个人很喜欢细语模式加L挡，跟开油车驾驶感受差不多，因为家里有台油车，这样更好的适应两车的驾驶感受，不羁模式，动力十分强劲，即使只是后驱车型，推背感十足。销售说地盘是通过赛道模拟器调教的，现在市面上只有两款车是通过赛道模拟器调教的，还有一款就是保时捷Taycan，确实地盘支撑性不错，高速过弯信心十足，底盘回馈偏运动，个人比较喜欢。车机显得稍微逊色一点儿，但是作为喜欢运动车型的我，这点可以忽略掉，整车驾驶质感非常不错，绝对拥有同级最好超控！推荐灰色，不加钱，低调，改装后很nice,2022-02-08,成都,
恰好是我85,https://www.dongchedi.com/user/1455377804176295,骚红不解释，实车无敌，光泽度是真好，漆面我也不懂，但是摸着是还可以的。一块多两块钱一度电，充一次几十块，在外就是快充，半小时不到，跑个两三百公里没啥问题，等家用充电桩装好了估计更便宜！ 轴距接近三米，后排空间还是比较宽裕的，而且前后备箱空间也很大，内饰用料上面比较精致，不过设计有点简单了，没有豪华感，不过20多万我也满足了hhh，中控大屏习惯习惯就好啦！ 其实很想买个长续航豪华版的，当时试驾的时候B&O音响的音质是真舒服啊，无奈没钱.. 车机功能有点简单，怎么说呢，没有达到心中的预期效果，不过用起来还是蛮顺畅了，卡顿倒是还没有出现过。动力猛属于电车的基操，电马的操控在同价位对比之下一流的，至少特斯拉和极氪是真没有电马的操控舒服，别的不说，丐版电马你值得拥有！,2022-07-15,东莞,
葳蕤8081,https://www.dongchedi.com/user/3276986157113623,平时上下班，周末出去玩这车开起来是真的舒服，对比过特斯拉，不能接受它的单踏板，太晕了，电马的单踏板就很不错，可以调节，开起来和油车差不多，习惯了几天就轻松上手了。 对电马的操控很满意，底盘超级扎实，有种那种人车合一的感觉，开起来贼稳，三种驾驶模式用起来很顺手，平时一般是入胜模式，偶尔在高速上试试不羁，有点好玩嘿嘿。不得不说V8的模拟音浪是个好东西，喜欢大马力的朋友对这个肯定情有独钟，开起来真的是太嗨了，只想使劲踩电门哈哈哈 其他方面的话也还行，内饰用料不错，摸起来很舒服，但确实是缺少了一点豪华感，毕竟也三十来万的车，空间足够大，我觉得后排挺舒服的，空间不大但也不小，而且后排座垫加长，带点角度，坐起来超级舒服，续航很不错，我一般电耗都在12个左右，出去玩没有续航焦虑，满电跑个500多公里还能剩个10多度电，主要是充电确实快，快充半个小时完事，也就一把游戏时间，还能投屏看看电影，但确实这个大屏有点耿直了哈哈哈 总体来说还是很满意的，毕竟再完美的车也有缺点，自己喜欢最大嘛，千金难买爷乐意~,2022-04-30,长沙,
琪琪恬恬宝贝,https://www.dongchedi.com/user/3114250435046743,外观必须满分，双色溜背曲线，动感修长的机盖，视觉效果堪比豪车。买不起GT，丐版耍耍，也就通勤，动力是够了 内饰是我喜欢的简约风，不用太多东西来凑，简简单单就好，大道尽头是至简 配置很满意，和30往上的相比也就少些加热、记忆什么的，有空调无所谓。唯一遗憾的就是音响了，当初试驾GT，B&O确实不错，算了加不起，以后有条件自己改！！！ 空间方面，驾驶位非常舒服，视野很好；副驾驶的空间足够，座椅很软！！前备箱暂时还未使用，有个排水口；后备箱目前就放了个箱子，目测可以放两个大箱子都还有空余。 续航保持在380-400，东莞天气还行，可接受范围内。智能化好评，触控很灵敏，滑动无卡顿，语音识别蛮快，挺智能的，不过一次多出几个指令“大聪明”就有点头晕了。 驾驶感觉的话，关了单踏板基本和油车无异（我到现在都还没适应单踏板），不过刹车感觉有点硬，不线性.....,2022-02-18,东莞,
一切都随风1223,https://www.dongchedi.com/user/111494985308,同价位买它没有什么争议吧？特斯拉丑拒，极氪小毛病有点多...然后说说电马，外观霸气一流，底盘稳重一流，内饰质感一流，同时还能兼顾运动，所以为什么不呢？ 半个月了，从提车的兴奋到平静，现在谈谈这半个月来的感受。驾驶感受太舒服了，动力响应迅速，要多少给多，方向盘稳重，过弯压力不大，悬挂调校稳如老狗，车内平稳的一批！后备箱够大，后排空间也足够宽敞，现在后备箱就放一个瑜伽垫，打下后排就是我的第二个床，亲测睡两个人没什么问题。市区内不考虑续航，到手的时候满电好像是470多一点，充了几次电后基本稳定在九折左右，地板油踩的多，驾驶有点猛，但是爽还爽的！ 这次购买很满意，既有满足自己的动力，又有驾驶的舒适，性价比确实一比一，但是有一个可能只有我自己的缺点，就是它车身长又比较宽，搞的我每次停车都得费老大的劲.....,2022-03-23,深圳,
JimmyR1,https://www.dongchedi.com/user/52894239422,在2023年的年初，有了购车计划，由于在上海还没有拍牌，所以我把目标放在了纯电车的范围内，在试驾了若干车型后在预算范围内选择了电马， 首先是驾乘体验，内部的前后排座位的舒适度很不错，稳定也还好。 接下来是储物空间，在还未交付时我**两个箱子，准备拿来放东西，结果空间很让我惊喜，前备箱里塞满了夏天的遮阳装备还有的多，后备箱现在就放了一个小箱子装装杂物很宽敞。 外观上来说很有辨识度，虽然现在很小众，起码在路上能一眼看出区别。 电车嘛，一开始就不会去考虑保值，牌照目前还是跟车，那就开到它不行吧。,2023-09-12,上海,
东莞GTFE,https://www.dongchedi.com/user/1662902428240088,"【购车经历】
4月看了发布会
9月底赛道试驾（对比modely、es6）
10月11 20.02下大定
12月底到车
昨天提车（辛酸路程）

【空间表现】
在调整好主驾位后，后排空间真的是电马最大，可能是后排座椅是倾斜的原因
座椅包裹也比另外两个强
【续航】
gt版360km左右，底板电就完事
【充电时间】
20%-80%96kw，80%-95%30kw
【智能化】
标配0-180km/h的自适应巡航。
那个1.5万的升级包目前着实没啥用
期待后期ota
【最不满意】
造车还是生娃？….等车等太久了
【驾驶感受】
冲，最爱不羁加单踏板
单踏板的拖拽感非常合适，没有特斯拉那么急
也支持完全停下，不像未来",2022-01-15,东莞,
三月泥人,https://www.dongchedi.com/user/4064239238782415,"【外观大爱】   
Mustang的设计语言，头灯，鲨鱼前脸，三条柱尾灯等元素都深深的吸引着我。掠心蓝无法抵挡。

【空间表现】
小车开惯了，所以感觉空间还算宽敞。座椅舒适，包裹性也不错，比较满意。后备箱和前备箱空间完全能满足日常需求。

【内饰】
中控台亮银色饰板、搭配织物网面的“B&O”音响，简约大气。10.2英寸液晶仪表盘，15.5英寸中控屏内搭载了SYNC+2.0智行互联系统。目前功能感觉还比简单，希望后期OTA 升级加入Carplay。

【续航】
官方nedc续航里程：492km。我平时喜欢激烈驾驶，城市道路和高速一半一半的情况，电耗：24KWh/100km，满电续航里程在320km左右，有点尴尬?",2022-02-05,重庆,
用户9580666750780,https://www.dongchedi.com/user/1983108662174574,落地27万多，小提电马标续。人生第一辆车，家里一半，自己一半，车子很满意，没有踩雷。 20来岁，谁不是颜值狗呢，最重要就是买个帅气，买个喜欢嘛，其他的有什么所谓吗？ 配置应该是很高了吧？氛围灯，全景天窗啥的，20多万买个油车都没有这车一半的配置好......空间上虽然是辆SUV，但是后排空间确实是有点小了，腿部空间还是有点局促，不过为了颜值，这点牺牲可以接受！ 内饰我比较中意，太花销我还搞不懂，除了一个中控屏，就一个挂挡和调节音量键，这多方便，中控玩起来跟玩手机一样。 智能化说的是那个选装包的东西吗？挺牛B的啊，自动泊车停的蛮精准的，还有车道预警什么的，续航没太注意表显续航和实际续航，满电一般是在430上下，一般我开个200多公里就给它充电，有点轻度强迫症 最后驾驶这方面，动力不虚七八十万的油车，红绿灯起步永远是我最快，指向精准，指哪打哪，单踏板可以自由关闭，但是还是希望能搞个动能回收也自由关闭就好，不羁模式太难受了...,2022-05-30,南通,
支架不住,https://www.dongchedi.com/user/528233420818707,用车两个月，说说几点用车报告 1.外观没什么好说，我就不信看过的有说不好看的。 2.6秒多的加速，说实话瞬间起速的话感觉比GT也慢不了多少 3.操控性很高，主打的操控，三种驾驶模式，可玩性很高，说实话对比下来比model y好的多，但是有刹车容易点头的毛病 4.空间还算满意，车内储物格子很多，前排中控，扶手，门板上都有，后排座位带点倾斜角度，座椅也比较软，坐起来很舒服，后排打下睡7觉正好合适 5.内饰属于新能源风格，比较简约，但是质感材料很好，有那么一点高级感 6.配置基本无问题，B&O音响是选择豪华版的一大理由，很遗憾没有座椅通风，天气热起来有这个功能还是很舒服，所幸空调制冷还是蛮快的 7.不开空间能耗13-15，开空调15-18，续航说不准，500公里没问题 8.车机智能只能算还能接受，人机交互不错，流畅度也还行，感觉功能比较少而且并没有那么智能 这款很适合一款家用型车辆，两个月开下来比较满意。,2022-04-28,重庆,
小溺233,https://www.dongchedi.com/user/71505892885,真香警告，GT不要太爽好不好，动力拉满，其他车都是玩具，一脚电门只能看到电马的尾灯。 大爱轮毂，造型爆炸，特别是看到小程序上哥们的改装后，什么特斯拉极氪什么的，都是渣渣(打算参照改个液态银加尾翼）。空间表现，对我来说是够用的，孤家寡人一个，爸妈自己有车，我感觉我都用不上这个前备箱好吧，门板中控的空间都够我使的了，不过很喜欢后排可以打下这个设计，带了个垫子，午休睡觉贼舒服。 内饰个人感觉不差的，仿皮座椅，中间的GT标，金色的B&O标，低调又奢华，夸赞一下全景天窗加上氛围灯，夜晚观赏神器！打算后排和天窗附近也加装一下，无敌！ 顶配车型，配置拉满好吧。不过确实GT的能耗有点高嗷，随随便便就是20的能耗，续航这块表显实际基本1.1比1的样子，相差不大，续航没低过350，七折往上吧，毕竟冬天，还可以。 车机中控大屏还可以，触感很好，反应迅速，大部分功能都可以在大屏里操作；语音操控很给力，导航空调座椅加热识别很快，尝试了一下自动泊车（虽然用不上），怎么说呢，有点偏移但是问题不大。,2022-02-17,广州,
0o回到过去o0,https://www.dongchedi.com/user/62430766595,外观：甩其他车型几条街都不止，路上经常可以看到怼着紧看的。 内饰：传统车企的内饰，虽不惊艳但中规中矩，我个人更看重有实体键。 配置：都说30.99性价比最高，但对我而言最看重的通风座椅全系都没有那肯定是丐版性价比最高了。 操控：选择电马最重要因素，几乎和传统油车一毛一样的驾驶感受，过弯、加速都能感受到非常稳定的底盘和之前试驾毛豆y的感受好很多。Tsl强制单踏板让开惯了油车的人无法忍受，试驾15分钟家人就有晕车的感觉了，销售还一直说习惯一周就好了吧啦吧啦的一大堆，花三十多万让我去适应它还是算了吧。那些吹嘘tsl续航真实的也不想想是牺牲了驾驶感受和可能的安全性换来的续航啊。 缺点：各种小问题还是有的，车机不够智能，系统更新太慢。 但这些缺点都抵不住帅和优秀的操控。???,2022-04-23,武汉,
想买A45AMG,https://www.dongchedi.com/user/699728652949304,电马其实也是玩具属性比较强的一台车，如果你非常中意它的外观，今年上半年内还是值得考虑一下后驱长续航版本的，否则就不要选择，电马提供的储物空间由于短腿限制你可能永远用不上，300ps动力和激进的大扭力调教，导致后驱225的自行车胎在路况差时起步急了很容易打滑，7J的原装19寸轮毂消灭了只换后轮胎宽的改装可能，百度联合开发的车机给原本就简陋的功能增添了一分不稳定。 但帅是一辈子的，车内空间也足够舒适，底盘调教到位驾驶乐趣丰富，送一年跪式服务，还有啥优点？差不多没了。,2023-02-04,杭州,
高级精灵8j,https://www.dongchedi.com/user/3711549534114654,标准的美式肌肉车，外观是真帅，驾驶操控很好，对比一下model y确实好不少，别的不说，至少不晕车，model y没习惯它的单踏板的话是真难开。 内部空间足够，我身高185，不论是前排还是后排都是可以伸展开来，不觉得压抑，而且后排座椅的承托性很好，坐上去很舒服，用料确实很实在，带排水的前备箱是个好东西。 内饰的设计很不错，实体按键很好用，旋钮式的挂挡非常高大上，能获奖也是情理之中 车子的B&O音响是选车的一大理由，想感受一下豪车的音响，其他的记忆座椅，方向盘加热什么的无所谓，顺带！ 买车就是家用，我是没有续航焦虑，最主要是用车成本低，从提车到现在，在外充电就没超过30块一次，便宜又省事。车机使用体验还是蛮好，反应还是比较快的，智能化和特斯拉差不多，一般，对了，车机屏幕，一块大平板！！！！,2022-05-23,成都,
电马维尼,https://www.dongchedi.com/user/2612913012212648,"去年3月定的特斯拉，4月订的电马，两车几经试驾体验对比，根据自己的需求情况，最终选择了电马。经过漫长的等待，终于在1月提到了我心爱的小红马，从提车时的兴奋激动，到现在的静心磨合，一共跑了两千多公里，我对小电马也有了更多的了解和欣赏。

电马的颜值，在我心中就是电车届的彭于晏，只能用一个帅字来形容了。车头车身肌肉感爆棚，车身线条优美，比例协调，车尾保留了经典的三柱型尾灯，颜值直接拉满。开在路上，回头率超高，这条街上最靓的仔还有谁！

电马的座椅，包裹性很强，环保皮料触感细腻，没有什么气味，后排座椅稍微上翘，腿部支撑也很足，靠背稍稍后仰，就像坐在沙发一样，长途坐着也很舒适。这是我选择电马的一个原因。

驾驶操控方面，这是一辆非常接近油车的电车了，方向盘指向精准，底盘调教稳重，过弯不飘。最重要的是，单踏板模式可以自己选择，细雨模式起步丝柔润滑，完全没有顿挫感，后面的老爸老妈都直竖大拇指。家里有老人，坐着舒服不晕车，这是我选择电马的另一个原因。

动力方面，我的后驱款应付平时的市内交通绰绰有余，动力随踩随有，响应迅速，在高速上超车也给我很大的信心。如果用不羁模式地板电起步，直接就把人稳稳的按在座位上，灵魂丢在了后面。

说到续航，在深圳，完全没有北方的续航焦虑问题。提车的时候，车显500多一点了，实际也能跑500左右。现在温度上升，车友群里已经有车友显示充满电600公里以上，有图为证。

电马智能化方面，辅助驾驶非常好用，平时走南坪快速，我用的自适应巡航，自动跟车，车道居中，防碰撞预警……真的是太省心了！要说拉跨部份，就是和百度合作的车机，转向灯提示音和模拟声浪小了点，QQ音乐也不能同步手机歌单。这些问题我在APP提交了建议，福特反馈很及时，并表示采纳，真的非常期待后面的OTA升级完善。",2022-03-27,深圳,
用户4228333564413,https://www.dongchedi.com/user/103066954253,"帅肯定是帅气的，就冲前脸我给100分，空间前排很舒服，后排略显小，老婆儿子是够了，多上个人就显得有点拥挤，后备箱很大。驾驶体验感一级棒，指哪打哪，方向盘无虚位，过弯信心十足，驾驶模式细雨配上单踏板，跑上600不是梦。内饰没有豪华感，重点在于用料和设计，用料给力，车内细节方面做的很不错，配置上三十万能有这配置，还有人吐槽的话真难想象，除了一些硬件配置之外，驾驶辅助系统的配置，主动安全与被动安全配置都很丰富，可以看的出来厂家在这一块是花了不少心思。
        整车的综合性价比是比较不错，挺适合我这种普通的上班族，自家是个自建房，充电停车都很方便，平时上下班，接送孩子，周末出去玩玩，续航够，又不限行，而且省钱，虽然现在不怎么缺钱，但是是个儿子，得给儿子攒点老婆本，该省省，该花花。",2022-06-22,萍乡,
用户6738027985328,https://www.dongchedi.com/user/2920765509864782,提车以后开了1000+公里了，不羁模式动力充沛，而且加速感觉很像油车，brembo卡钳制动力迅猛，路感清晰，底盘极限高，一个人开真的非常的有驾驶乐趣！就是带家人出去，走烂路有点尬，不过没办法，驾驶乐趣和舒适性不可兼得。 最惊喜的地方是，入胜模式真的非常舒服，加速平顺（模仿油车的油门，非常舒服），动力回收有但是不强，开起来感觉非常像油车，质感巨好，我可以无缝和开5系宝马油车切换，坐姿高，视野好，非常爽！ 这车的油耗也顺便提一嘴，入胜模式非常的省电，一般开下来14-15度每百公里，丐版满电正常开差不多开个420km，偶尔路上没车就换不羁模式贼爽，不过这四条轮胎真的太细了，而且鹰驰这个轮胎的抓地是真的一般，我几次不羁模式都直接spin了，不过过弯极限是真的高，开起来真的巨爽，等我多spin两次我就换个米其林ps4 suv去。 （我要是有钱该多好啊，要是有钱我就搞gt版本了，有钱的伤害那叫一个高啊）,2022-08-01,上海,
