字段1_文本,字段2,时间,字段3
枫宸82,车辆空间：后备箱中规中矩够用，因为是5座车辆，前后排空间非常不错，后排乘客翘腿坐都很舒服，车长车宽对于家用来说都非常合适。 车辆动力：hev模式和纯ev模式下，车辆动力都非常足，起步很快，高速加速也很快，超车没问题。尝试车辆满载5位成年乘客时，动力依旧很足，不存在龟速加速或者上坡压力问题。 车辆智能：语音功能很强大，支持小迪的各项操作功能，包括连续语音输入，语言识别能力也非常不错。车机系统目前未卡顿，车辆支持5G，但需要设置，设置流程和安卓pad很相似。 车辆显示：一块大屏幕和一块小屏幕，大屏幕显示清晰，滑动顺畅，小屏幕在方向盘后面，开车时候容易被遮挡，但旗舰抬头显有效补足这一缺点，抬头显在阳光下看的也非常清晰。 车辆隔音：ev模式下，基本听不到任何噪声，低速模式下声音为模拟发动机噪声，可以设置取消。车辆轮胎一般，胎噪较大。hev模式下，在车辆亏电时，驻车、起步、倒车时给电池充电，发动机噪声较大，方向盘和前排座椅有抖动感，建议优化。车辆整体隔音效果不错。 车辆底盘：整体感觉比宋强了太多，前麦佛逊后四连杆，减震效果挺好，操控性能强，没有网上黑子说的所谓的坐船和点头情况，请这些黑子做下车主认证，发点照片。 车辆音响：效果很好，因为是旗舰感觉重低音音质很有质感。 车辆内饰：真皮座椅，配色还是丑，为什么不用纯色…海螺门把手，看着还行，但是感觉没什么必要，氛围灯和宋差不多吧。,2023-01-30,西安
GQ的护卫舰07,#护卫舰07驾驶感受 提车也有两个月了，简单总结一下优缺点: 优点1:油耗低。两吨重的家伙，亏电油耗百公里5.5左右，纯电百公里11度电，折合一公里2毛左右，对我这个新手来说还是挺意外的，这么大的车，和其他SUV比，真的太省钱了。 优点2:底盘稳定舒适。这台车相较于老款的唐，汉，宋，底盘确实很舒适，坐过我车的同事朋友都有称赞，有些坑注的路段，真的很稳很舒适，可能是FSD可变阻尼调节的效果，目前新款的唐和汉也用上了，确实看到很多车主说底盘有了改进。 优点3:配置丰富。这个价位的混动suv，该有的配置都有了，刚需的配置几款都标配了，旗舰的多的是一些可选可不选的HUD，灯光，和续航差异。比较适合按需选购。 优点4:产品定位清晰。很多人刚开始看，都会考虑洗唐，还是洗择护卫舰。虽然，两款车，确实有很大竞争关系，但定位还是比较清晰的，如果有六七座需求，选唐，如果没有选护卫舰，如果喜欢传统一些的成熟设计风格，选唐，如果喜欢年轻，时尚，运动的外观，选护卫舰。价位区间，也刚好和老款的唐Dmi，DMP中间，形成互补价位。还有些其他优点，不都说了，再来说下主要缺点: 1.内饰线条复杂，设计奇怪，有点儿不人性化。内饰颜色样子，很多人不喜欢，尤其是那个鹦鹉螺门把手，吐槽很多，不过习惯了还好，其实更多的是为了避免开门杀。还有水杯架，太窄，太浅，能放下的杯子也妨碍胳膊时。 2.油门略有延迟，在有些情况，踩第一下油门会有1秒左右的延迟，没有海豹那么油门快速响应。不过，有这点儿第一脚油门延迟反而能避免一些误踩加速。 3.尺寸较大，360全景影像，左右尾部有误差，容易刚蹭。开大尺寸的车，这点，不可避免，不要盲目全信360影像，正面车头，尾部，还可以，其他部分，不是特别准。 4.服务差。我的购车经历，有好多方面服务，真的不行，可以看我前面的帖子吐槽。当然，服务和产品分开看，产品我是推荐的，服务，更多的是看你遇到什么样的店，什么样的销售，不过也侧面反应了管理制度和员工素质以上，就是我这两个月的用车感受。感谢圈主推荐. 最后，希望大家都能买到更适合自己的车，就像遇到更合适自己的人。 感谢圈主推荐,2023-05-08,天津
牙刷锤子得很,用车感受其实还中规中矩吧，感觉我个人来说的话，1：不喜欢的就是那个车机流量我感觉5G太少了，然后呢，充它流量又太贵了划不算，所以我经常用手机分享WIFI车机使用 2：还有不喜欢的就是智能领航方向喜欢偏右，有时又感觉正常 3：乘坐体验的话还是挺舒服的，特别是后排，可能也是大5坐的优势吧 4：说说后备箱，容量中规中矩也放不了多少东西，感觉，出去露营一趟的话，东西可能带的太多了。 5：露营出去玩耍，其实还是很不错的，露营前我都给他保电了45%，加上我自己带的电磁炉做饭，真的是快的不要不要的，远超其他在用卡式炉的😂 6：性能方面，我觉得还好，对我个人来说已经够用，我的是，我的车是今年二月份购买的，然后到现在已经跑了10300多公里了，整体体验感，说实话还是很不错的 7：油耗方面的话，嗯，上次我把油加满，在重庆主城和在仙女山跑了一个来回，中途补了两次电，然后我回到重庆的时候，那个油的续航里程就还有600公里，仙女山到重庆主城的话，单面的话差不多200公里一来一回的话，就算400吧，然后呢，我又从重庆主城跑回垫江老家一趟，来回350多公里吧左右，再加上回到主城的话又在跑了山上跑1趟歌乐山当然我难得充电已经没电了，综合表现，我个人还是比较满意的，油耗方面经济实惠吧 8：纯电的话，续航里程方面，因为我是100公里的嘛，以前我自己测过，跑到还有25%的时候，我最高记录跑到过91公里，纯电续航里程，当然，那是没开空调的，我在重庆的夏天又比较热，夏天的话，自己大概的看了一下，感觉我的电很快就用完了，到35%了，跑了65公里，差不多，那这个呢？就是我个人的使用感觉 9：还有不满意的地方就是可能是4s店的服务人员的那个服务质量，买车的时候拉过一个群，在里面发个消息，从来都没人会回复你的，只有我那个销售，我给他发信息基本上都还是回我了，回复只是有点拖拖拉拉的感觉，那还是每次必回，还是。,2023-07-31,重庆
cagechen,"【最不满意】
1.地台稍高。不管是上车还是后备箱的都偏高，建议装侧踏板，不然的话上下车确实比较不方便，尤其是老人和小孩。
2.内饰。门把手设计的有个性，但遇到第一次乘坐的朋友都得提前提醒开门方式。以后可以做做减法。另外内饰颜色只有云雾灰，太单调了点。控制面板等地方用钢琴烤漆，好看是好看，沾灰尘也是杠杠滴。


【驾驶感受】
开了1600多公里，大部分是用电，以我的驾驶习惯，真的省。一公里费用基本控制在1.5毛左右（综合），纯电基本上0.1元，而且是外面的快充，如果是家里的私桩更省。
行驶品质确实不错，提速很快，动力随叫随到，时速80以上超车什么的也很轻松自如，感觉不到是一辆大车。但是美中不足的是智能保电在馈电的时候，发动机介入声音确实有点大，刚开始介入的是比我的帝豪GS还大，但过个一小会儿就小了。

【空间表现】
无敌，乘坐空间一流。前排我特别喜欢包围的设计，膝盖旁边是弧形的设计，包裹感很好。后排地板全平，座椅角度多档可调，非常给力。
美中不足依然有，后备箱。后备箱一方面是地台偏高，搬东西对于女生来说不友好。另外，估计是为了给后排更好的乘坐空间，后备箱压缩了点，不该是这个轴距这个车长的车该有的后备箱表现。

智能化，我觉得小迪确实反应非常快，用的芯片应该不是8155，不然早宣传爆了，但是车机非常丝滑顺畅，小迪的反馈也很好，加上手机互联，我觉得智能化体验还是很好的。

综上，我们家对护卫舰07的整体表现还是非常满意的。值这个价！

最后说说关于中保研测试的一些看法，仅代表我个人的意见。
测试结果，整体还是不错的，但最近几天懂车帝，小视频有大把大把的人在喷护卫舰07，就是A柱形变和安全气囊低速弹出。关于那么多人在喷，我觉得有些人就是看热闹不嫌事大，比亚迪销量上去了，热度也一直在，这时候蹭蹭热度赚点钱，还是很容易的，所以会有那么多人没有了解清楚就带节奏，我还是建议真正关注比亚迪，关注护卫舰07的朋友们，保持理性，不要被那些没有营养的车轱辘话带偏了节奏。接着说说我对测试结果的看法。A柱形变不是断了，这个概念差很多，从结果来看，整体的安全保护成绩是优秀的，所以即使在A柱形变的情况下仍旧可以很好保护车内人员的安全。而安全气囊低速弹出的问题，我觉得是比较严重的，比亚迪应该做出反应，不管是通过系统升级或者是4S店技术升级还是什么方式来优化，终归是应该得消费者一个态度和交代的，这个没得洗。谁也不想稍稍一碰就被安全气囊呼个晕头转向。另外，我觉得行车安全更多应该是驾驶员，车就是个工具，安全很重要，但如果开车的人不重视安全，再牛的车也没用。这次的测试给我们一个很好的提醒，路上要注意安全，避免碰撞，不然真的可能会有危险。所以，希望大家理性看待，也祝福众多护卫舰07的车主朋友行车安全，一切顺利。希望国产品牌越做越好，也希望懂车帝多加监管，净化互联网环境，少一些恶意喷子，多一点真诚交流。",2023-04-30,漳州
子午灯火,"[购车经历］
本来打算入宋plus dmi 5G版本的，结果坑爹的4s销售忽悠到最后，就掏出了唯一一台满是划痕的库存车（在库4个半月）。
就索性加钱定了护卫舰07。
也有一些防背刺跌价的想法在里面，看了下1月护卫舰全国交付了5000多台成绩，早就过了金型校修的时间就，就果断下手了。

[用车体验]
与超人气的宋相比，护卫舰的性价比略显差了一些，就注定销量与爆款无缘。
几万块钱的增价，主要体现在了用车舒适度上。后四连杆悬架，FSD阻尼减震器，大五座空间定位等等。
由于之前工作是汽车底盘开发有关，对底盘性能尤为注重。我想这也是我愿意买单的原因之一。
（四连杆无疑比三连杆更具有分散压力的稳定性）

动力方面，由于之前一直开超小排量车，这台提速感觉足够用，毕竟定位家庭大五座，喜欢推背感可以上dmp。

操控方面，转向偏肉，毕竟底盘架构大小在这里。
油门刹车反应比较线性，开惯了日系车操控上比较不习惯。

空间方面，后排超大空间可以翘二郎腿。不赘言。

总之，我个人作为曾经日系车开发从业人员，对这车感官还是蛮不错的。虽然内外饰仁者见仁智者见智，但内核架构感觉并没有花冤枉钱。
我由衷欣喜地看到了国产车这几年的进步。
不再是粗制滥造，敷衍消费者，而是用心做好产品。
这比买车更让我开心。
愿比亚迪能像丰田一样，成为下一位业界擂主。

以上。
最后感谢圈主推荐。",2023-03-01,青岛
TOYODI抖动舰,"三月底提车，目前整体还可以就是几个小问题，
1.车内后视镜以及车后玻璃太黑了，晚上基本是啥也看不见，
2.辅助驾驶拉跨，智能领航会画龙，高速用定速巡航还可以，会自己跟车，但是要握着方向盘，必要的时候介入。
3.方向盘有点偏右。
4.这车没有备胎，有天半夜开车可能是被钉子扎了个大洞，只能大半夜叫拖车拖到其他地方修，其他整体还可以。空间真的大！
5.高速油耗有点高，强保 70%，跑了 1500 公里左右，后面算下来平均一公里要 7 毛，这个车和油车相反，油车跑高速省油，这个车耗油，主打的是一个城市 suv，城市里开用电平均一公里八分到一毛钱，挺省事的。
6.底盘有点拉跨，避震不太行，但是比日系同价位或者高一点的车都好，试驾过 crv 和 urv 以及荣放等，还是不如护卫舰，但是和美系车还是比不了的。
    总之没有完美的车，适合自己的才是最好的，这个车性价比挺高的如果品控没问题，是一个不错的家用车，看到车圈 1.2 月提车的车友们出现了不少问题，希望比亚迪能提高品控和服务，努力解决问题，预祝中国车企越来越好！",2023-05-23,武汉
呀可马克,【购车经历】 一月份下定，三月份提车，坐标河北省邯郸市，等了快三个月，车到第二天去验车，4s店前停了一辆205，以为是自己的看到前机盖左右缝隙差的比较大，还好不是自己的，我的里里外外啥毛病没有，有瑕疵那个，不知道是哪个哥们的，哈。 【提车价格】 205旗舰苍烟色，裸车一毛优惠没有，全款提车，保险5000+，上牌400，免了车船税，赠送五次保养，脚垫，3m的玻璃膜，其他没了。跟其他城市比不了，变相降价，送一堆东西，哦对了还送了一束花。 【最不满意】 1.后备箱空间一般，后排太大了，匀点给后备箱其实挺好，第二排中间空隙可以躺人了都。2.中控台设计不好，左侧水杯架挡档杆，水杯软胶卡扣有点low，而且大水杯放不了，手机放的地方不好拿，中间面板两侧有点宽碍事，中控台空间利用不够，手套箱很深，不好掏东西，自己买了个夹层盒子，好点了。3.前仪表台层次感有点复杂，材质很多，海螺门把手有点突兀，总体来说内饰设计是够科技，但是有一点点设计过猛。4.底盘感受还可以，就是过坑横向摆动有点大，有点像坐船，过弯感受到还好。5.智能领航局限多，基本只能高速，智能化还好，小迪基本都能办，就是智能辅助就那样，中流水平吧，不算缺点。6.轮胎佳通，除了耐磨以外，没啥优点，胎噪还大。7.雷达探头有的时候有点傻。 【驾驶感受】 动力足，1.5t加上单电机，应付2吨多的大家伙完全够。提速快，电车起步和低速加速都很快，只要肯踩推背感就来了。加速稳，速度上来了加速也不差，稳稳当当。底盘处理偏舒适，就是横向支撑有点弱，过烂路左右晃动较大。发动机和电机配合很好，驾驶过程中很平顺，各动力输出模式切换毫无违和感，说白了就是我啥也感觉不到，它自己切吧，我就轰油门就行。方向盘两种模式，舒适轻，运动重，跑高速手干偏重，也正常，尤其是开了巡航，尤其重。刹车也两种模式，建议舒适，运动模式后排容易晕。动力回收建议较大，当小刹车用，习惯了挺好使。 【油耗】 跑了2600多公里了，hev和ev里程各占一半，基本上跑的都是高速，有2000公里高速，油耗自然不低，市区亏电4个多油，高速7个多，有时候6个多，看脚法和速度。友情提示，车静谧性很强，很容易超速。 【续航】 205公里，现在基本能开个150左右吧，冬天还不知道。 【空间表现】 突出特点第二排空间巨大，其他正常，储物空间设计的不够好，利用率较低。 【亮点配置】 车机流畅，小迪好用，配置很高，底盘舒服，动力足，外观超帅，内饰前卫，关键是核心的那几大件很稳定。 【保养】 没保养过不知道。基本三年内不用在保养上花啥钱。 【总结】 20-30万，中型suv，插混，五座，技术稳定，配置高，颜值棒，销量好，品牌认可度强。这几个选项一确定，只有护卫舰07了，没有第二家能打的。20多万的车不算便宜，买护卫7确实值得，买不了吃亏，买不了上当，卖了也快5个月了，现金一毛不降，你寻思！你细品！别说啥送这送哪变相降，哪款车，哪个店不多多少少送点东西。 希望能对各位车友有帮助，感谢大大精华。,2023-04-11,邯郸
匠心良心,力排众议，买了护卫舰07，3月刚刚提车，一路市里、高速开回来，大约130公里，高速速度120以上，hev模式，油耗显示6.7L/百公里，相当不错。上下班一天大约22公里，自己和单位都有充电桩，原来想买205，现在发现100还是挺适合的，100比205重量轻了100kg，底盘电池稍微高点，现在一直hev模式，用用发动机。 车还是比较大的，够用。动力还行，提速不算太快，够用，毕竟2吨多的车。 手机NFC真是太好用了，钥匙、卡片放在家里，随身带着手机就行。媳妇手机也授权了NFC，也可以开车。 人机交互不错，小迪还是比较给力，就是不知道中控这个pad能用几年，几年后不知道卡不卡，换个中控起码得三千以上吧，入手了5800的延保，不知道是不是智商税，先保8年吧。 车上方向盘和中控的的各类按键，还有中控屏内的设置，还不太熟，慢慢看手册摸索中。 颜色选的时光灰，中规中矩，比较普通的颜色。挂牌时遇到了黑色的，挺好看的，就是不太耐脏，夏天可能温度高点。4S店展示的天青色比较显年轻，比较潮，张扬。苍烟色偏暖一点。萝卜白菜各有所爱吧。 目前的缺点，方向盘稍微有点重，长距离开可能会累点，后期可能适应了就好了。发动机开始介入时，脚放在前面有轻微震动感。还在慢慢磨合中。,2023-03-03,威海
谭老实SEAN,1. 原本只是去看海鸥的，结果增购海鸥变成了置换护卫舰，含泪告别我的2.5V6自吸英菲尼迪最后的绅士qx50。 2. 价格完全没优惠，置换补贴5000，当地政府消费券抢了5000，赠送电池、电机下护板，脚垫贴膜，挡泥板，4次保养。提车时还被延保专员唬了一个8年延保4000多闷? 3. 外观和内饰：好不好看见仁见智，反正我觉得好看，我们家领导也是喜欢。 4. 驾控感受：比亚迪的混动因为没档位，平顺性确实一流，不管是EV还是HEV模式，动力都是随叫随到。底盘对比我原来的英菲尼迪确实欠点火候，不过亦差得不远矣；对比唐的底盘我个人感觉要比唐要稳不少，座椅也比唐的舒服，同一天前后脚试驾护卫舰和唐。 5. 油耗：提车后第二天马上到五一假期，拉上一家老小就去了趟桂林，实测亏电综合油耗6.5个（70%高速30%城区），个人感觉挺满意，毕竟原来那台英菲尼迪12个油? 6. 辅助驾驶：跟车和车道保持都挺好用的，只要旁边车道的车子不突然加塞，都不会有急刹车的情况，也没有画龙。不过要双手时刻紧握方向盘有点累，解放了右脚又累了手和肩膀? 7. 槽点：中央扶手杯架还能再小一点吗？一罐红牛都塞不下去。 8. 给准车主们的建议：一定要上旗舰版，抬头显示是真的香。 其他的使用感受后续再分享吧。,2023-05-04,南宁
护卫凌柒,"总结写在前边，天青色看着很敞亮，提车一周跑了300公里，加了200块油，高速250公里左右，油耗7l左右，电池盖没有圈里说的缝隙那么大，原地发电的时候声音也可以接受。
【购车经历】
车型选择考虑了x't4，昂科威，最后因为天津绿牌太香了，比亚迪的混动比较靠谱所以就选了比亚迪。2月中旬去订的车，因为比较纠结所以一起定了2辆，宋plus旗舰和护卫舰100旗舰，想着随缘哪个到了提哪个，第二天老婆回来了带她去试驾选选颜色，结果正好来了个天青色的旗舰，我们本来就想看看和苍灰色的对比，结果店长说你们着急可以让我们直接提，还是挺惊喜的，本来说要等2个月，结果2天就提了，后来等合格证等了5天，这点比较惊喜。
【提车价格】
天津啥赠品没有，送了4次保养。乱七八糟保险啊，3m贴膜，（车衣没选太贵了）底盘装甲，办了2年无息贷款，落地差不多14万，具体没记了。

【驾驶感受】
试驾的时候分别试了宋的旗舰和护卫舰的旗舰，悬挂是真的好很多，走烂路一些坑过滤的很干脆，加减速抬头点头，超车的侧倾都支撑的不错。

【空间表现】
空间大不少，后排和后备箱都很大，车也很长，买回来以后北京天津搬了一次家本来想着得运两次，结果一次就装差不多了，后排放倒以后简直化身小面包车，就是吧之前没开过这么长的车，家里停车位又总被旁边的车卡位，每次要停好久…自动泊车都没机会用，找物业投诉也没用，还是抓紧挣钱换房子吧。
充电桩还在装，流程比较简单，会有专人对接，价格也比较透明。
【最不满意】
座椅记忆功能不能用小迪选择，也没有实体按键，强烈要求后续ota升级，不然太难受了，我和家人开车来回重新调太麻烦了。
空调声音比较大，不知道别的车会不会也这样…
我想要灯光秀！！！我想要灯光秀！我想要灯光秀！能不能加钱选配啊～～～就这样吧😁😁😁",2023-02-26,天津
n暖阳丶,"【购车经历】
首先换新能源车是一家人经过深思熟虑的，纠结了很久，先后看了宋plusdmi和深蓝s7，最后经过反复比较还是相信比亚迪的技术，原本去s4店是准备提老款的宋plusdmi的（新款宋确实太难看了，入不了眼），主要新款上市老款有降价优惠，可惜没有库存了，所以只能放弃了，然后在店里转转看到一台灰色的护卫舰07，我跟我媳妇一眼就喜欢上了，也试驾了下，确实空间和驾驶感受比宋plusdmi好很多（毕竟全系标配Fsd），虽然有点超预期了，但是最后还是定了下来，完全满足一家人的出行需要，接待的销售也很好，一路帮我们加急调车上牌等等，最后用时6天就顺利提车上牌，真效率?

【最不满意】
目前行驶了600多公里，基本没有什么不满意的地方。
【提车价格】
因为芜湖本地新能源购车有消费券补贴6000以及置换补贴5000，相当于优惠了1万1，总体来说还可以接受，两年免息，三年低息

【驾驶感受】
因为全系标配FSD可变悬架，过一般的坑洼路面过滤的比较好，而且座椅也很舒服，过减速带的时候有些许颠簸的感觉，开起来确实有点开船的感觉???

【油耗】
目前油耗显示4.4L，主要是刚提车没有充电条件，跑了一趟400多公里的高速，基本就是亏电在跑，这点油耗已经很满意了，纯电充满基本可以满足市区代步需求，后面多用纯电油耗应该还能降。

【续航】
满油满电表显1000多公里，但实际应该跑不到，也差不多能到1000左右吧，那也够用了。

文章的最后感谢圈主推荐。",2023-08-01,芜湖
乘风破浪的火车Q7,"1、3月10日一早去杭州盛世新景交付中心提的车，现在店里提车的人很多，建议提车的朋友提前一天让交付专员把你的车先充满电，我是到店后验车时发现电量只有20%左右，马上让专员先充上，后面流程全部走完大概花了将近3个小时，走时电量已接近50%。

2、充电和用车成本：提车到现在开了将近1000km，其中2次长途，其余均为市区，慢充2次，快充2次，综合油耗4.5L/百公里，市区纯电能耗14度/百公里，自己没有家用充电桩，杭州的充电桩还是很方便的，外面充电大概1.5元/度，纯电开成本20元/百公里，HEV成本33元/百公里。

3、用车体验：车辆开起来最大的惊喜还是它的地盘很稳，颠簸路面的过滤也很到位。整车的静音措施做的很好，在车内听歌一点也不受外面噪音影响，虽然我不是丹拿但音质还是不错的，对于我来说足够了。车辆虽然很大，但操控起来没有想象的那么困难。在洗车店上牌时收获旁边宝马5系大哥的艳羡，表示后面换车也要换新能源的。

4、槽点：门把手，门把手，还是门把手。每个坐上这个车的人，下车时都打不开车门。还有就是后备箱能增加脚踢感应开关就好了，这个增加不了多少成本，可是这个功能对于需要搬个大件东西上车的人来说就很方便了。",2023-03-19,杭州
斯年若晓,1月11日看的展车，半小时就付款拿下，1月14日提车开回去了。天青色，很大。今天终于上牌可以认证车主了！ 开了8年的比亚迪f3，就没出过问题，所以非常相信比亚迪的质量。 外观：天青色，感觉非常年轻。前脸虽然没有宋plus霸气，但还是尚可的。 内饰：很多人吐槽的门把手，其实用多几次就习惯了，一点也不碍事。对于仪表盘，开始我也是特别不能接受的，但是用上了抬头显示后，会发现，基本不看仪表盘了，抬头显示真是太香了，远不是那些某多多后装的抬头显示可比的。 杯槽：比宋好太多了，放得下奶茶，放得下奶茶哈！ 车机：除了扫回负一屏有点卡顿，其他时间非常流畅。小迪语音好评！ 后排：真的够大，老婆带两孩子坐着非常多空间，两岁小孩都可以在后排玩耍。换SUV最大的作用就是出门让老婆小孩在后排做的舒服。 行驶感受：用电机是真的安静。馈电行驶发动机声音在打开车窗的时候确认声音大，但是基本关窗的情况下，还是很静音的。在高速上一般巡航110速度，一旦要超车，随时都有推背感！ 智能化：ACC，智能领航真是超级好用啊，开10小时车都不怎么累！12超声波雷达随时响应360度影像，很棒！双闪爆闪过3次，两次在高速，一次在市区，都是后方有车快速接近！ 油耗：表显油耗5.1-5.5之间，用小熊记录综合油耗是7.28升百公里。记录85%的都是在跑高速，700多公里馈电行驶！ 用了10多天车了，感受真是不错！,2023-02-02,珠海
刀法上午,"开了一个月，大概才一千多公里。

动力对我而言足够满足，有时一不留神就得踩踩刹车减减速。

外形虽然算不上特别喜欢，但个人认为有一些设计语言是让我比较欣赏的（车内的门把手我个人认为也是这车总体的设计亮点之一，要是门把手也是音响就好了）

但是这轮毂属实有点拉胯了，可以说是海洋系列最差的。。。。。有闲钱的话改个大气一点的轮毂好了。

还有一点，身为一名车企员工，实在是觉得logo方面没有王朝网好看。可以看出设计师在logo方面尝试将其融入海洋网的设计风格中，但还是不大行，真的。

空间的话其实是足够的（至少一米八一的个子在后排腿不会被挤到），不过有一说一，后备箱的容量没有想象中那么大。

硬要说有什么不满的话，车机虽然是目前最新，但对一些主流APP的使用便捷性还是不行（比如音乐软件）",2023-02-03,深圳
汽车洋葱圈,"【满意】1、外观硬核，护卫舰07和比亚迪唐有着明显的差异化风格，整体更加霸气，同时也融入了一些未来元素，更符合海洋系列的风格，饱满且有力量感。
2、内饰豪华舒适，空间很大，在五座状态下，驱逐舰07的空间比唐DM-i略大；用料足，护卫舰07算是海洋系列的旗舰SUV，内饰基本都是真皮包裹，豪华感很强，另外中控可以旋转的屏幕，逼格十足。
3、动力强，虽然只是1.5T插混系统，但有了电机的加持之后，起步动力真的很迅猛，几乎和大部分电动车一样，丝毫没有动力迟滞的问题。当电池电量不算低的时候，发动机不会频繁介入，动力比较跟脚，输出质感算得上丝滑。
4、油耗不高，这台中型SUV即便在亏电模式下，百公里油耗也在7升以内，同时还有着不错的动力输出。

【不满意】1、方向盘的电子味较浓，增益的线性度不够细腻
2、隔音效果一般，在高速行驶时，有一定的轮胎噪音和风噪。
3、开启驾驶辅助，在智能领航的情况下，仪表盘的提示不够明显。

【驾驶体验】得益于全新的四连杆结构后悬架以及FSD可变阻尼减震器，护卫舰07的这套底盘悬架比表现要好过以往的不少比亚迪车型，减震器的阻尼感更强，悬挂的释放与回弹具有一致性，不会一味地生硬，也不会有软塌塌松散的感觉。这台车的动力参数挺不错，不过它的操控并不是运动SUV，整体偏向舒适家用，动力输出比较线性，初段加速迅猛，后段加速也有足够的力道，整个动力系统出力过程不会过于暴力。

【油耗】WLTC综合油耗百公里2.1升，正常驾驶的话，这台车和普通混动车没有太大差别，油耗在百公里6-7升左右。【优惠】目前无现金优惠。",2023-05-16,
远光龟速狗,"21.58万，如果把以下缺点做好，我认为值这个价。没发现明显优点。

先说缺点。

1，油门完全松开，再踩，无论深浅，无论啥模式。动力延迟一秒（4s店也承认这点）。油门不全松开，再踩动力随踩随有。我后来试驾了，特斯拉和大众id4，任何时候动力随踩随有。当时买护卫舰07有点盲目了。

2，座椅记忆竟然要在中控屏点4级菜单才能选择。没有快捷方式。不能语音呼出。不能首页快捷图标。（好像也不记忆后视镜，因为座椅记忆太费事，我直接放弃使用了）。

3，不同手机解锁，不记忆用户习惯（比如座椅位置，后视镜位置），问界m5有这功能。2，3这两点，一点难度没有，比亚迪就是不做。

4，喇叭太重，小力按不动。也不能轻点，出一个很短的声音。因为点不动。

5，刹车初段比较灵，这没毛病，但是不线性。去过一次北京，车多，跟车比较紧，刹车踩着很不准。和第1点，油门延迟一秒，在北京这种车多的地方，很不顺手。

6，特斯拉和我现在开的思铂睿，都是右侧后视镜下，有向后照的摄像头。（就叫 电子后视镜吧），视野广，没盲区，喜欢驾驶的人，但用难回。一点不夸张。其他车没发现谁用（我见识少，开过的车不多），都为了噱头，弄360影像。其实多一个（电子后视镜）对于驾驶来说，效果翻倍。但都不做。

7，自动驻车，直接关了，踩油门了，半天才走，（有点夸张）反应太慢。

总结，其他方面就没啥了吧。即使动力延迟一秒，综合来讲，也比一般油车好开，因为电车（混动也算）电机可以直接输出最大动力，开起来比油车感觉好。我不怎么在乎内饰，大屏，等等跟驾驶无关的东西，所以不多说了。（内饰啥的，都不错）。
下图为我发在b站的视频截图。",2023-04-16,唐山
驾域AUTO,"搭载DMi动力的这台护卫舰07暴露了比亚迪在审美能力和底盘调校这两项核心能力上的不足。海螺式门把手、过于繁复的内饰线条，依旧没能改变我对比亚迪内饰设计上“用力过猛”的印象（虽然在比亚迪汉上，这种印象已经得到改观）。护卫舰07的潜在用户，确实有不少人是被这套内饰劝退。

      底盘方面，虽然全系标配了FSD软硬自适应调节，底盘也从宋的三连杆升级为四连杆，但实际效果却比较一般。在较平整的铺装路面上，开起来足够舒适。但是在碾压大颠簸的破碎路面时，路面的震动会比较无保留的传进车内，车身的左右晃动也显得过于剧烈。而在爬行山路时，山路过弯时明显的左右侧倾也无法让人忽视。和它非常丝滑顺畅的动力相比，底盘有些拖后腿——明明有些弯道可以开的更快更顺畅，但是过于跳动且还会左右摇摆的尾部让你顿时就没了多少信心。

      此外，比亚迪的这套D-link车机确实也到了该考虑换代升级的时刻，在竞品都纷纷换上了高通8155之后，这套D-link服役多年已经显得有些落伍。特别是在我试驾过程中，居然还出现了死机现象。

     但是其它方面，这台护卫舰07堪称完美。价格不贵，23万就能买到纯电100公里旗舰型，配置够高，连遥控泊车都提供了。尺寸够大，空间足够，外观设计也称得上成功，大气简约，钣金漆水有足够的厚重感。此外，护卫舰07也吃尽了这套DMi技术的红利。它搭载139匹的1.5T+197匹的电机，这套动力组合避免了在宋PLUS DMi身上出现的，在馈电状态下动力不足的问题。我们实际测试即使在只剩10公里纯电续航的条件下，这台车以时速100公里/小时为起点进行持续再加速，整个加速过程依然显得顺畅饱满，毫不拖泥带水，即使它的重量已超过两吨。而在能耗方面，这台车表显累计能耗在3.4度电+5.1L油，算下来综合能耗仅为6.2/百公里。可以说动力和能耗兼得。

      这个表现也足以击碎某些迪粉辩称宋PLUS DMi搭载1.5L发动机是为省油而不是为了节约成本的说法。考虑到护卫舰07比宋重了300公斤，它足以证明换装1.5T也并不会增加多少油耗。相比宋来说，护卫舰07显然是在产品层面短板更少、更均衡全面的一款车。它不会有长途远行馈电情况下动力不足的担忧，更不会有能耗的问题。如果能接受它的内饰设计，对驾驶乐趣也没有太高追求。那就咬牙多加5万块，我觉得它比宋更值得入手。",2023-04-07,
用户1970217278134,外观大气，前脸看着很舒服，内饰很柔软，配置没的说比亚迪的配置一直都是低价格高配置，空间很大，我弟200斤 在1米85的个子坐在后排还很宽敞，全车智能化系统很给力。车辆开起来很舒适没有顿挫感，底盘也很舒适，没有颠簸感。,2024-03-09,西安
健康可乐4G,整体外观大气稳重，驾驶稳定安全静音，配置丰富，座椅乘坐属实，内部空间大，上高速到120码方向盘确实有点抖动。,,佛山
多才多艺小红花Gm,外观大气，纯电续航太短了，太鸡肋了，刹车太软了，根本刹不住，几次差点追尾了，中控台塑料制品太严重，车漆太薄，前后都是塑料太廉价了。 【最不满意】 4S店 销售太坑了，各店优惠不一样，能坑一个客户就坑一个。,2024-02-20,成都
