字段1_文本,字段2,时间,字段3
飞奔的野百合,"#感谢圈主柯基狗蛋儿推荐精华 
【空间表现】
空间真的大，最开始的时候后是准备买宋plus的，然后转着转着就看了唐?，瞬间被唐的空间所折服。而且觉得唐毕竟是旗舰车型，肯定要比宋好。第三排还没坐过人，看车的时候进去坐过，只能说，应急没啥问题（本人175体重120属于偏瘦的）腿伸不开，当时也没注意调第二排座位，反正当时坐进去的感受就是腿伸不开?。
【充电时间】
快充试了一次，口罩原因，提车半个多月，才跑了280公里，跑的少，所以才充一次电，单位充的，快充站半个小时左右，从20%充到了85%，感觉还是可以。充满花了1小时14分钟，充到90左右的时候，是真的慢?。
【续航】
从4儿子提车的时候，4儿子给我充到了94%，开到发动机介入（期间主要城里跑，设置的智能保电模式）跑了86公里，时间11月份地点重庆，当时的气温差不多20-25度的样子，期间出去办事停车吹了半个多小时的空调制冷。大概情况就这样，总里程太少，所以就只有这一次测了纯电续航。
【动力表现】
起步是绝对轻盈的，红绿灯起步绝对不虚，只要敢踩油门，后段就不太清楚了，毕竟还没跑过高速。等后面回老家上高速了再看下中后段加速怎样。
【油耗】
现在表现6.2每百公里，用小熊测了下7.1感觉误差有点儿大?主要是公里数跑得少，总共也就加了两次油，第一次是提车的时候，加了100块钱，第二次加了300，第二次加了油就遇到了口罩，就再也没开过车了?。第一次加了100块油和电量94%总共跑了大概270公里的样子，当时剩余油量7%，电量21%。所以具体每八公里费暂时就这个样子。
图片顺序就是提车，第一次充电，上完牌照（4儿子邮寄过来，自己上的）",2022/11/16,重庆
糖三宝的奋斗史,"唐dmi尊贵提车作业

【 感谢圈主柯基狗蛋儿推荐精华】本人二线城市小打工仔一枚，2021年喜得双胞胎千金，故而7坐成了刚需。于是在众多的7坐suv中挑选自己的下一个家庭成员。 
经过了一大圈的对比，比较喜欢马自达的cx8，zoomzoom的情怀(之前单位有量老马三，好开的不得了)，但是碍于冷门，最终还是确定了购买台比亚迪唐dmi的尊贵版。于是乎直奔4s店看车，第一次去比较晚，只是看了看外观，第二次去直接试驾，试驾以后变喜欢上了电车所带来的平顺感。第二天果断下订。 等车22天，销售通知车到了，开心的不得了，和媳妇直奔4s店提车，提车过程比较顺利，销售也比较负责，直接放下手里正在接待的看车客户来给我办手续，挺满意。最终落地价214800元，保险4700多，4000分期手续费，抵押上户免费。送全车膜，脚垫后备箱垫。硬要了两次保养。哎，要是能早几天订就可以多送套护板，分期手续费还可以少2000，有点心里不平衡。不过车终于还是提回来了，媳妇给起名糖三宝。
 说说这个车吧，个人觉得外观还不错，之前喜欢唐dmi的前面，但是，现在这个越看越顺眼。比较喜欢后屁股和贯穿的尾灯。虽然自己在车内看不到。 
内饰用料不错，逼格很高，但是新车有点味，座椅很舒服。烤漆内饰感觉难打理，后期考虑贴内饰膜。前排储物空间较少，不过左手放证件的小兜兜挺好。至于车内功能情况，提回来还没仔细研究，等有空了慢慢研究研究吧。
 说说驾驶感受，开了也没多久，但是感觉平顺性真的很棒，很喜欢。但是底盘确实略显一般。感觉车驾驭起来有点大，也可能是不习惯的原因，还无法得心应手，慢慢适应吧。用电时候的感觉真的很棒。至于小毛病啥的，新车吗，还没发现，以后看吧，希望没有。也不知道它的质量能开几年，希望可以很久，毕竟小老百姓买个车车不容易。
 能耗部分，因为还没有牌照，也没怎么开，看不出来，具体就以后分享吧。 
最后总结，现在超级喜欢这个车车，优点很多，超级适合自己现在的用车环境，每天来20公里，一礼拜五天班，单位停车不方便，但是路口有对新能源免费的停车位，又能狠狠薅一比羊毛，至于它的缺点，以后有了以后再说吧，不要是解决不了的大毛病即可。目前的心情，开心。",2022/10/24,太原
千千大朴朴朴,"21款唐DM—i提车和行驶一月体验
【感谢圈主柯基狗蛋儿推荐精华】

重新编辑发布

（补充）昨天14号下午，开去贴膜了。你们都懂得的，销售开始一顿吹。听到一半，我就说，“我就贴赠送的膜，前左右门，加个你们说的的加两百块透明一点的那个膜。”就这样打住了，销售的话术。???辛苦了。贴完膜，空调吹了一会。开回家之前，车门全部开启，通下风换下气。那胶水味道实在难闻。

另外顺便让销售把提车时没有送的后排那两个抱枕给送过来了。两个真空包装袋的抱枕。还没打开的。基本上东西也就齐了。赠品包含：①新款比亚迪logo的抱枕。②比亚迪的专车太阳膜（侧后档）。③比亚迪专车太阳膜（前档）。④环保大包围脚垫（全新一代唐DM 7座版 PVC）。⑤小灭火器一个。⑥新款前排头枕。

外观设计到位，感觉唐dm—i外观很好看，辨识度高，尤其贯穿式尾灯，和龙颜设计，车前的LED大灯绝对霸气，车身的线条设计增添了时尚感运动感，满足了审美点和空间的需求。当时在试车时没有试驾过唐，倒是试驾过宋plus，舒适度个人感觉非常OK。车子的座椅靠背都是做了支撑的，对腰部很友好，解乏舒适。提车快一个月了，目前都是纯电在用，是真的挺给力的，虽然我一般也就用于上下班，或者是去周边游玩这样子，还没走太远，油耗目前无法得知。这让我在用车过程中，完全不会觉得有压力。目前还在熟悉各种按键和设置。

充过几次电，电量到30%左右就去充一下。充电70%电要七十多分钟。感觉有点长，问了销售，销售说，那是充电桩电量的原因，开始充电的时候快一点，充到80%以后就要慢下来了，是对电池的保护?。也问了汉车主同事，他说他的汉，大概40分钟就充好了。哎，下次再充，想换个地方，充充看看。",2022/12/14,深圳
大磊言车,唐dmp，外表扮猪吃老虎，最让人上头的是那一脚下去后，爆发的大动力支配整个大车身后所给出的灵活与轻巧。这是在这个级别里没有体验过的感受。4.3秒的百公里加速，驱动着近乎2.5吨的车身，体感加速迅猛，同时掌控感十足，刹车所给与的反馈也是非常到位。人车一体，人车合一，感觉有了重新的定义。 另外，家族化的外观内饰设计，感觉目前没有亮点，不过想想这个价位，感觉国产真的在配置上给的很多了。科技配置，舒适配置应有尽有。 给想买这车的一点建议，追求性能，追求加速的激情，这台车绝对是目前混动车型中，动力前茅的，操控前茅的，如果不追求急加速，唐dmi完全够用，另外如果家有充电桩，有固定车位，日常开车代步多，混动插电确实方便。,,
汽车天涯,和之前的唐DM相比，唐DM-p最大的升级主要有三个方面。 一是颜值。唐DM-p中网采用了点阵式设计，看起来更时尚，也更有辨识度，和汉DM-p是一脉相承了。 二是座椅布局。在全系标配7座布局的基础上，唐DM-p提供了2+2+2的6座布局可选，整体的舒适性会更上一个台阶。 最大的变化当然是搭载了比亚迪的DM-p系统。如果单纯看加速，上一代唐DM和唐DM-p零百加速都是4.3秒，好像没变化。但是现款唐DM-p搭载了一块45.8千瓦时的刀片电池，而之前唐DM电池容量最大只有22.3度，大了一倍多。车身更重了，还能保持一致的加速性，这就说明唐DM-p从底盘到电机再到结构都有升级。 最重要的一点，唐DM-p的NEDC纯电续航为215公里，按照更苛刻的WLTC标准，续航也有189公里。对于家里有充电桩的小伙伴来说，189公里的纯电续航基本可覆盖一周的通勤里程，完全可以当做电动SUV来开啊，偶尔长途出行的话，加油就可以了。,,
爱笑的眼睛8932,"【空间表现】
无可挑剔的空间表现，日常工作，上下班第三排不用的时候放倒放平，第二排拉到最后，空间是相当完美的，当你需要用到第三排座椅的时候，只要让你的稍微胖点的朋友坐第二排，瘦点的坐第三排，合理安排一下也是一点问题也没有的！
【提车价格】
提车价格:4S店说新能源的车是没有优惠的，裸车236800，保险6000，贷款手续费3000，还有个定位1980，临时牌10，正式牌120，购置税没有，置换补贴反8000，
【动力表现】
只要你舍得给油那就一点问题都没得事，HEV模式的时候，只要你不是急加速或者是暴力行驶，当你的爱车设置保电百分比到了的时候，发动机在时速60公里左右才会介入，EV模式就不用说了啊，就是纯电车跑，没有任何压力，跑就完了！
【充电时间】我从百分之三十左右，充到百分之百，用的是楼下的给电动自行车充电的220V的充电电桩，车机表显示是七个小时十几分钟，但是结束时间却是十个小时，当然这是我第一次充满电，估计最后应该是涓流充电吧！类似于我们吃完饭然后再喝点水溜溜缝吧！不过这个给电动自行车充电的充电桩是真的贵啊！2.28元一个小时😭！想快点充还是建议安装专用充电桩！

【续航】关于续航这个问题，强制保电在百分之五十到七十，不要急加速不要暴力驾驶，续航里程还是很不错的，当然不要去跟DMI车型对比啊！DM是性能四驱车啊！

【最不满意】
要说最不满意的地方首先第一个:就是等车时间太长了两到三个月。第二个:就是车后上方的盲区太大了，有高一点的障碍物就看不见了，让我第一天提车就把后贯穿尾灯撞了一个洞。第三个:结合第二个不满意的地方就是说这个360全景，刚提车你会发现有虚位，等你习惯了也去了解了这个虚位点的时候就没有问题了
【智能化】
智能化这个问题，它就是一个可以语音交互的大平板，车机也不卡顿，3.0的系统还是很不错的！
【驾驶感受】
驾驶感受就一个字:爽",2022/1/29,烟台
爱吃辣的卡利斯,首先外观挺喜欢的，总体来说比较沉稳大气吧，后来的改款反而不喜欢。 对内饰并没有太高的要求，我并不是唯真皮论的，颜色搭配还可以，总体来说符合一个八零后的审美吧。 本来是选择的尊贵版，对所谓的智能驾驶配置、大屏之类的不感兴趣。但是等了七个多月一直没有车，后来销售通知我说有尊荣版到了，果断拿下。自从跑了一次长途觉得自适应巡航还是很能解放双脚的，缓解疲劳。总体来说一分钱一分货吧。 大空间是我的刚需，因为家里人多，一起出门的的概率比较高，而且老人对小空间的车很反感。虽然知道第三排并不太实用，但是平时当大五座用，第三排放倒能获得一个很大的后备箱空间，平时帐篷，小拉车，孩子的小自行车都放在里边，很实用。 续航还算可以，跑过长途，满油满电八百五到九百公里左右，但是自从换了国六b的汽油后感觉没有以前撑用了。平时不管多少SOC我都是用普通模式+HEV，可以当纯油车来开，市区油耗在5.5-6.5左右，很满意。 驾驶感受方面，总体感觉偏舒适性，过坎有多余的摇晃，前轮压到沟坎或者减速带方向盘会有拖拽感。原配的轮胎摩擦力偏低，急加速时有打滑情况，有一次急刹车胎响严重，刹车距离超长，没有信心，差点儿撞了，以后再也不敢这么开了? 智能化，因为平时也不大用所谓的智能化，只是觉得大屏幕对孩子的吸引力比较大，不至于孩子坐车无聊闹腾。不过虽然自适应巡航有点儿画龙，但是短时间内缓解一下疲劳还是不错的。 可靠性，总体感觉还是需要提升吧，首先到目前为止没有出现过什么大问题，但是召回两次电池检测，换过一次电池。现已经一年多了，开了才5000多公里（平时不怎么开?），但是最近感觉后备箱方向有明显的异响，挺烦人的，有时间到4s店去检查一下。 用车成本，我可能并没有发言权，因为开的太少了，主要就是市内开开，也仅限于周末，至少和纯油车比好像还算不错。因为小区不让装充电桩，平时也没很便利的充电条件，就当油车用，偶尔跑跑长途也没有里程焦虑，主要是上海的牌照接近十万，省下来的钱用在车上还是很划算的。,2023/6/1,上海
葡萄德,"【感谢圈主柯基狗蛋儿推荐精华】

上一辆途观1.8t 2013款开了10年，操控不错，用得很好，时间久了会出点小毛病，车况再开10年没问题。但油耗略微上涨，加上高位油价，城市通行基本是1.1元每公里。加上二宝出生，考虑7座了。

【购车经历】
必买新能源，因为一家人出去玩的时候，我有在车上午睡的需求，油车不敢睡，怕中毒。6座不考虑，因为不好睡。
老款唐DMI出来的时候就关注了，当时只是去看看玩，4s店当时只有老款唐DM试驾，动力表现非常惊艳，但是老款DM亏电油耗很高且纯电续航不足。
刚开始是考虑唐DMI的，价格压力小。新款唐DMP出来后，心痒痒，纯电续航增加，并且亏电油耗降低，技术提升很大。反正车子是打算开十年的，之前开途观1.8T一直就羡慕别人2.0T，买DMI的话肯定又有这个问题，所以下决心由唐DMI转唐DMP，准备吃土。
横向对比来看，结合预算和需求，基本可选得很少。偶尔有7座需求，平时当五座开，必须新能源，动力要好，基本只有唐DMP了。理想、蔚来都严重超预算了。
魏牌蓝山，价格差不多，纠结了一下，还是决定买唐。感性上来看，外观还是唐DMP霸气一点，轮毂造型深得我心；蓝山这种咖啡命名的方式，对于不喝咖啡的人来说，实在不太接受。理性上来看，魏牌其他车子销量不太行，新出的蓝山也无法预测；唐DMP虽然销量不大，但DMI销量大，总体结构是一样的，稳定性、维修方面更有保障；新能源车子还是得买销量大的，销量大意味着车机系统更新会更有保障，这对新能源车是非常关键的。比如，以前智能领航会划龙，更新后就不会。就怕买车后，销量不行，车机停更，那就和买油车没区别了。
新能源车都降价，唐DMP33.18的价格不降肯定不会买，所以一直等，几个4s店轮流问，终于等到了直降2.2的活动，并且一个4s店有现车，可以有另外0.3的区政府补贴（江西这边比较低）。其他费用就是3000的贷款费，5000多的保险，500上牌费。

【空间表现】
当五座车开，空间还行了，第二排没有期待的那么富余，和我的老途观差不多。后备箱空间够大。

【第三排空间】
当7座的话，我172身高，第二排需要往前移一点，第三排才能坐得舒服点，不移会顶膝盖。

【动力表现】
新能源汽车最大的一个优点，就是让普通人曾经遥不可及的动力下沉。4.3的百公里加速，没有出磨合期还没体验。用HEV+ECO模式，城市驾驶感觉轻盈，超车加速轻松。亏电满载高速上100码以后，加速依然有力。

【续航】
快充可达90KW以上，从24%到80%用时23分钟多点。
纯电能跑160左右，这个看天气、脚法。

【智能化】
“你好，小迪”，可以解决大部分需求。智能领航很好用，自动居中，不划龙，高速、快速路都用，极大减轻了驾驶疲劳。根据最近比亚迪的辅助驾驶部署，硬件方案都变了，估计是没法再期待提升了。

【油耗】
亏电，五个大人一小孩一婴儿，后备箱、车里能放东西的地方全放满，高速120，部分路段没跑起来，综合油耗7.9，再高一点也能接受，高速开得少。
满电情况下开高速，智能保电模式，会更省油。

【驾驶感受】
电控悬架感受起来，运动模式下，过减速带很干脆。比老途观是好多了，老途观像是在坐船。
布雷博刹车、座椅通风、座椅记忆、电动方向盘调节、自动远近光、自动雨刷、NFC车钥匙、手机无线充电、K歌、遥控挪车等等，这些都是我最常用的功能。功能多的同时，学习成本也是比较高的，需要一定的数字设备操作能力、学习能力，才能玩得彻底。

【最不满意】
一是品控有待提高，右后门比其他门难关一点，售后检查了，门和锁都没问题，说是新橡胶，多少会有点，用久了会好。
二是主驾座椅背面的塑料盖板无端开裂，十年的途观都没出过这类问题，走售后历经十多天更换了。
三是还是小品牌的气量，送的东西太过廉价，根本不会去用，都是几十块的锅、十几块的水杯。
四是套路化营销，买个车也不省心，4s店送的所谓的龙膜最好不要，一个劲让加钱，加了800贴的所谓定制膜，后悔，不如到外面贴，质量品牌有保障。钱不多，但是膈应人。
五是办内置ETC银行方面有500押金，这个估计有操作上的问题，但售后说大家都是这样。",2023/6/2,南昌
汽车洋葱圈,"【满意】
1.龙颜美学这套设计理念放在唐DM-p这台中型SUV上，感觉还是很大气的，前脸的鳞片式格栅配上两侧犀利的矩阵式LED大灯组，很时尚。
2.悬浮式车顶设计配上21寸低风阻轮毂以及质感精致的尾灯组，看着就值这个价位。
3.双色拼接的内饰质感不错，有一定时尚气息，全液晶仪表盘和中控那块大尺寸的屏幕UI设计以及流畅程度都不错，语音识别也很灵敏，很容易给人好感。
4.它的540度全景影像成像效果也挺清晰，雷达反应灵敏，对新手很友好。
5.视野方面做得不错，座椅软乎厚实，并且带腿托、支持多向调节，方向盘的前后调节幅度也挺长，很容易可以找到一个适合自己且舒服的状态。
6.在这套DM-p系统的加持下，这台中型SUV零百加速可以做到4.3s，动力很赞，好评。
7.作为顶配车型，它的主被动安全配置、舒适性配置给得都很高，日常家用挺香的。

【不满意】
1.交车很慢。
2.受限于车长，最后一排座椅的舒适性表现一般。
3.新车内饰稍有异味。

【驾驶体验】
唐DM-p这套动力系统可谓是非常凶猛，动力响应快速直接，深踩油门立马可以给你一个强烈的推背感，甚至放在ECO模式下，都相当跟脚，这套目前代表比亚迪最高水平的动力配置，我觉得可以给一个好评。
底盘方面，个人感觉这套智能电控主动悬架的整体滤震，舒适性表现可圈可点，在面对路面大小颠簸可以很干脆的过滤掉，整体的韧性、高级感都是有一些的。

【乘坐体验】
整体座椅的舒适性表现不错，且前后排都带有加热通风按摩功能。

【优惠】
以北京地区为例，目前平价无优惠，需订车。",2022/9/1,
驾仕派,【最满意】比亚迪全新DM-i超级混动系统，相比普通的PHEV系统，其核心提升之一恰恰是“亏电油耗”。在官宣数据方面，唐DM-i“亏电油耗”能实现5.3L/100km的成绩。最直接的对比是车长和整备质量比较接近的全新一代丰田汉兰达，其动力总成搭载的是丰田2.5L HEV混动系统，其中两驱/四驱车型的百公里油耗分别为5.3L和5.8L。由此可见，比亚迪唐DM-i的节能优势可谓相当明显。 【驾驶感受】唐DM-i因为电机足够强劲，日常出行主要用电，即便汽油发动机启动，大部分时候也是工作在经济转速上，因此整车静音性非常好。和其它传统燃油车相比，唐DM-i因为主要以电驱动所以可以避免传统变速箱换挡时带来的闯动。 智驾方面，搭载的DiPilot智能驾驶辅助系统功能丰富，包括DiPilot智能驾驶辅助、DiPilot 智能遥控驾驶模式、DiPilot 3D全息透明影像系统、DiPilot 方向盘车道偏离辅助振动提醒等等，是一套在近期业界“严格了L2定义以后”依然绝对能被称之为L2级别的系统。 【乘坐体验】唐DM-i的第二排空间非常宽敞，我175cm身高进入后还有接近四拳的腿部空间，就像坐进一台B级轿车的后排，并且头部空间也足够充裕。第二排座椅还具备前后移动功能，可以在第三排需要坐人时挪点空间给第三排乘客。唐DM-i的横向空间宽度是一个重要的优势，再加上纯平的地台，对第二排相对轻松地坐下三位乘客很有帮助。 【油耗】唐DM-i油耗表现相当优秀，除了亏电油耗仅5.3L，如果是电池充满状态，其搭载21.5度刀片电池的车型仅纯电续航就达到112km，搭载9.98度刀片电池的车型纯电续航也有52km。由于家庭用户日常出行当然更多是满电状态，像100多公里这样的短途游是最常见的，先用纯电行驶再用混动模式行驶，因此唐DM-i往往会获得更低的油耗成绩。,2021/9/30,
LV Andy,"一开始看车就是奔着suv去的，总有人说轿车好也有人说suv好，但是我觉得各取所需吧，萝卜青菜，各有所爱。看车的时候想着又要考虑预算，又要考虑配置，又要考虑用车成本。本人是95后，其实对国产品牌已经没有70.80年代的人那么有偏见了，更是在抖音通过一路向北博主的安利，而去关注了比亚迪。讲实话，纯汽油车比亚迪在目前市场上，我不看好，但是新能源领域，绝对是压制的存在。
       了解了刀片电池的安全性，以及比亚迪自己的三电系统，我觉得单丛品质来说，比亚迪让人也用着放心。动力电池搭配高热效率的骁云插混发动机，动力方面不用担心，百公里加速8秒的动力放在这么大的suv领域也是不落伍的。油耗也是异常的低。试驾了以后发现动力极其平顺，随踩随有。和纯汽油车完全不同的感受。想了想以后买完可能再也回不去燃油车了。
       之后准备下定发现，一车难求，销售说等车需要3个月的时间，我一想，算了今年是等不到车了，要不再攒点钱，明年说不定出新款呢。到时候如果提车，继续给大家分享用车感受吧。（我特别喜欢的红色要加价2000着实有点受不了?这是学马自达的吗？）",2021/11/29,
九十五爆车,"具体体验咋样慢慢看吧

【空间表现】
首先空间方面 DMP 采用 2×2×2 的布局但 我认为第一排是最舒服的，脚步空间足够我操控了，副驾驶腿部空间也比较充足，第二排空间也是嘎嘎管用，翘个二郎腿也足足够用，第三排空间我是无法接受，当我坐在三排时，右腿已放在第二排了，头也是稍微有一点倾斜，若是小孩坐还行，储物空间也设计的很丰富，可以容纳更多物件
【动力表现】
车子出奇的安静，特别是 EV 模式。车内隔音也特好，在车里创作不会受到任何声音的打扰，在混动模式下，只感受到一点震动。当开启 SPORT 模式，仪表盘由蓝色 变成了红色，推背感也十足，毕竟百公里加速 4.3S



【智能化】
大部分功能可以用语音控制，没有了眼花缭乱的按键，操作也更便捷。以前觉得宝马的手势控制很先进，在语音控制面前都是弟弟。APP远程控制也很便利，朋友他以前总担心没锁车门或者车窗，现在手机一看就知道了，还能远程关闭开启车门车窗，控制空调、充电，还有遥控泊车没试过，下次找地方试一试。他还说NFC很香，出门再也不用带着累赘的钥匙了。

【最不满意】
相对于满分的驾驶感受，我还有一丝不满意，液晶仪表盘和那可旋转的大屏两者没有联动不说，导航系统还有很长时间的迟钝。如果要大幅改进我建议把车拉到 4 米 9，因为第三排成人坐着真难受?",2023/7/18,
车图腾,"首先比亚迪霸气的Dragon Face家族式设计语言，多幅双锋式运动格栅，旁边是悬浮式龙晶LED前大灯，中间是唐的标识，设计非常考究。侧面是两条腰线非常醒目，它叫做游龙跃动腰线。下面是双色运动轮毂，上面是实用性很强的合金一体式车顶行李架，中间是全铝合金侧窗装饰条，是不是有豪华车内味儿了。车尾则是晶耀无缝贯穿式LED尾灯，辨识度相当高。

再加上车顶的超视觉星空天窗，就两个字：敞亮。而且唐DM-i超级混动还是皮质座椅，柔软度适中，长时间乘坐也OK。

作为大7座车型，它的第三排也不是小板凳，能容纳两个正常体型的成年人。要是你把座椅放倒，后备箱将变得更大。日常出行，自驾游等，妥妥的。

内饰部分是一个环抱式的座舱设计，中间是一个大号可旋转触控屏，很有比亚迪的特色。

中控部分有许多的软质包覆，用料方面良心，还自带内饰氛围灯。这块大屏里面还集成了DiLink 3.0智能网联系统的。它具备智慧语音控制，支持模糊语义、童声识别及多人互动等功能。

首先，唐DM-i搭载了一台插混专用涡轮增压1.5Ti高效发动机，并采用了米勒循环，进气阀提前关闭，膨胀比大于压缩比，燃烧更充分，提高燃油效率。

而且，唐DM-i搭载的EHS电混系统取消了传统变速器复杂的换挡机构，所有动力传递均为单档机构，通过电机实现无级变速，降低了换挡带来的冲击和顿挫，提高了整车的平顺性。

还有一点，它的车内还有一块超级混动专用功率型刀片电池，这个电池效果好不好，安全性够不够高，就不需要我多说了吧。油耗部分，52km续航版的油耗是百公里5.3L，112km续航版本则是百公里5.5L。",2021/8/2,
行走江湖3462,昨天去比亚迪4S店试驾了唐DM-i，对唐DM-i的驾乘感受很满意。 半月前去试驾了唐DM，那天去的时候，唐DM-i刚到店，还没上牌，所以没能试驾。关注唐DM-i很久了，一直想体验一下油电混合动力车的驾乘感受，当然，是为换车做充分比较。现在驾驶的是一辆2.0T福特蒙迪欧致胜，驾龄10年，没驾驶过电动车。 外观，内饰，空间不做表述，各有各的需求，审美也不一样。 驾驶感受：唐DM-i的油门非常顺滑，升档（应该是没有档位）的感觉无限绵密，没有丝毫顿挫，这与双离合或者AT换挡汽车的感受不一样，对乘客的感受非常友好。提速比较快，稳，有信心！ 乘坐感受：在后排感受了一下。因为基本体会不到发动机的存在，所以车子本身的声音很小，行驶中的静音效果比较好，提速到80以上，车内人员交谈自如（试驾路没机会跑到100以上）。驻车时，有自动驻车，车子立马一点声音没有了，非常安静。家人对车子的静音效果也称赞有加。 能耗：试驾车的电量为20%，属于亏电状态。看到能耗为8.9升/100公里。因为试驾车的状态，一般都是激烈驾驶，包括我自己，都想试试唐DM-i加速能力和激烈驾驶的操控感受，因此，这个能耗应该是很高的了，日常生活驾驶不会这么高，唐DM-i这套混动系统，相较于这个车子的体型和体重，很优秀了。但是，不敢保证它会进化得更优秀。 受限于现在的产能，唐DM-i，其它比亚迪的车子也是这样，提车时间一般都在3、4个月。因个人经济拮据，今年暂时不换，期待明年。那时，提车快捷，选择起来可能更好。 对了，对于车子的驾乘感受，我比较赞同王垠、胖哥的车评！,2021/6/14,
湘华说车,"【驾驶感受】唐DM-p四驱旗舰版的整体驾驶感受，就是舒适、轻巧，原本以为这么大的一辆SUV，对于以前一直驾驶轿车的人而言，会比较笨重，但是实际上因为这个车的调教偏舒适运动，所以整体方向指向十分轻盈，而且驾驶的时候整车的态势感知特别清晰，基本上稍微适应下尺寸就能够做到指哪打哪了。特别是这个车的动力，四驱加后桥差速锁，我在爬一些陡坡、山路、非铺装路面的时候，特别稳而且动力输出强劲，而在国道省道超车的时候，能够迅速在短时间内超过前方车辆，增加了安全感。

【乘坐体验】乘坐体验这一块，因为唐DM-p四驱旗舰版拥有DiSus系统，所以颠簸感不是很强，而且行驶起来很稳重，没有急加速那种突然蹿的感觉，刹车也没有点头前倾的现象，所以即便是家人中有晕车的老人，也感觉这个车乘坐起来舒服多了，最主要的是空间大，没有压抑感，加上柔软包裹性强的座椅，附加更是有腿托，十分舒服，只有第三排座椅的话，坐着有点憋屈难受，第二排和副驾驶都特别舒服，还有座椅通风、加热，可以调整位置等。

【油耗】这个车的油耗表现超出我的想象，比燃油小轿车还省油，我在高速公路测试过，亏电行驶，我的高速亏电油耗是6.9升的表显油耗，市内的话因为是纯电行驶所以没测试，电耗这一块，高速和越野基本是20度电，而市区和乡村道路、国道省道则是16度电左右，可以说使用成本很低。

【续航】续航这块，我感觉挺扎实的，纯电续航是215公里，实际上除去强制保电以外，计算出来是180公里，实际上如果是市内或者国省道跑，纯电续航是真正可以扎实做到180公里，甚至还有多，高速公路，如今这个天气下，120公里时速下，纯电续航只有140公里，当然每个人的驾驶习惯和脚法不一样，会有差异。

【最满意】这款车可以说最满意的还是能满足我家用和越野自驾游的需求，而且很多功能配置好玩又实用，比如说方向盘加热、主动安全系统、HUD抬头显示、220V市电插座等等。

【最不满意】目前行驶了2000公里，还没有哪个方面最不满意的，如果非要说的话，那么就是6座的情况下，第三排坐人，尾箱空间就太小了。",2022/11/8,
玩车报告,新款比亚迪唐DM的外观部分改动的并不多，中网小了一些，另外还有一些细节上的改变处理。内饰的科技感、质感大大提升，大部分能摸得到的地方用了麂皮面料，手感很好，视觉上也显得更上档次。中控屏幕更大更薄，系统也得到了升级，车机系统更加人工智能。 2.0T插电混动搭配6挡双离合变速箱，动力充沛，在零百测试中，起步时前悬架的拉伸比较明显，有轻微的轮胎打滑，整个加速的动力输出非常有力道，并且直接，推背感强烈。即使速度达到了100km/h以上，动力也没有丝毫的衰减。最终实测0-100km/h加速成绩为4.36秒，比上一款快了0.24秒。在同级别价位中，算是名列前茅。 前后轮都搭配了高性能卡钳和打孔通风盘，在同价位中没有这样的配置。36.4米的刹车成绩足以说明它的优秀。在三十度的高温天气，连续10次进行刹车制动测试，成绩依然稳定，没有出现热衰减想象，刹车的反应十分迅速，制动力的输出稳定且强悍，相对来说，前悬挂的支撑性稍有逊色。,,
