字段1_文本,字段2,时间,字段3
令人失望的比亚迪,除了这个续航稍微有点不尽人意，其他都很满意，同价位几乎没有对手，毕竟是极氪001的机械素质+百度的高阶智驾。不过对于我这个续航也够用，实际市区也能跑400+，高速300+。,,宁波
极越01,动力强，基本够用，外观好看，最喜欢智能化和智驾，续航感觉有些不够，后悔没买100度电池，可能是冬天的原因吧，天气热了应该好些。,,苏州
ImJoshZ,"【驾驶感受】
软件系统流畅高效，主驾位无需命令词唤醒非常好用。智驾系统平稳舒适，在可开启PPA路段自动驾驶像个老司机稳定，同时又比较保守。
底盘比极氪001软一点，开起来非常舒适又不松散。

任何有关车辆的指令都可以语音控制，一方面来说极端智能，另一方面来说习惯以后经常手动想不起功能在哪里。


【能耗】
冬季0-10℃电池续航达成率在70%-75%区间，开启空调设定20℃耗电量在18-21kWh/100Km。
【销售态度】
我持保留态度，感觉我追着销售在跑。可能我拿雷克萨斯标准来要求他们了。",2023-12-17,西安
沙雕电车小玩家,综合不错，20万出头的价格唯一的电动门，智能驾驶辅助和智能座舱都是不错的。最主要的是浩瀚架构，全铝底盘。001同底盘。非常优秀。这个价位买到这样的配置车辆真是非常值。,,西安
好奇承德3z4,【驾驶感受】 不愧是吉利浩瀚架构，底盘没得说。。 【续航】 续航很能打了，冬天400-450km。。 【动力表现】 3.8s虽然现在不起眼了，完完全全够用，秒杀绝大部分了。。 【内饰体验】 对得起价格，买点周边装饰会提升。 【智能体验】 第一梯队没的说，与华为各有擅长之处。与周边朋友炫不停。。,2024-01-14,亳州
极越熊猫,1. 基于浩瀚平台的底盘及调教整体的驾乘体验优秀； 2. 硬件还是比较给力，为将来的升级提供了各种可能 3. 智能驾仓优秀，远高于整体电动车水平； 4. 智能驾驶能力也高于大部分品牌； 5. 颜值高啊，耐看啊,2024-01-09,成都
驾仕派,【车型亮点】1、极越01还是吉利SEA浩瀚架构目前最便宜的中大型SUV，比极氪001更便宜，就比smart #1贵一些。而且极越增加了铠甲车身结构、电池防护系统，提升了安全性。 2、首发量产上车了高通5nm制程的8295芯片，单片有30TOPS的AI算力，而双NPU的配置让极越01有流畅的语音交互能力，只有它的给力才能实现包括车外交互、无唤醒交互、可看既可说等智能座舱的设计。 3、作为百度的文心一言合作伙伴，极越01还是全球第一个上车AI大模型的量产车，而且它跟《狂野飙车》也有合作，游戏适配在大屏上更流畅。 4、极越车身尺寸符合中型SUV的规格，长/宽/高分别为4853/1990/1611mm，轴距也达到3000mm，对比Model Y要大上一整圈，但视觉上不会那么有体量感，大概和智己LS6的风格有些贴近。 5、极越01的前双叉臂 、后H-Arm 多连杆独立悬架，都用了全铝材质，不过没有用五连杆的后悬结构，好在有CDC减震阻尼，就是不知道在极限状态和高车速下的操纵性，有没有影响。 6、极越01全系标配基础的ROBO drive，支持点到点领航辅助PPA和代客泊车的max版本，选装价格达到4.99万，已经向特斯拉FSD看齐。不过目前预定只要1.99万，听起来更为合理，也可以用980元一月的价格订阅，未来极越还可能按年或者按周订阅。它的智驾硬件有双Orin-X芯片，5个毫米波雷达以及12个超声波雷达、12个摄像头等28项，配合亲爹百度Apollo高阶自动驾驶功能的全力加持，通过OCC占用网络技术，使车辆的纯视觉感知能力大幅提升，极越01号称将是国内首款落地实现纯视觉方案智能辅助驾驶系统的车型，交付后在上海、深圳、杭州直接就能用，其它200+城市则要等到2024年开通“轻图”的城市PPA。 7、动力方面，极越01 Max单电机车型有200kW最大功率，双电机Performance版本则叠加到400kW，0-100km/h成绩可以达到3.8s。此外，极越没有800V平台，快充速度上限不会太高。 8、购买极越01的选择很简单，配置上都是Max，智能座舱和舒适体验都一视同仁，这也是为以后的Pro版留了后门。不过极越01 Max Performance的33.9万价格，比Max高了9万元，虽然有660km续航的100kWh电池和双电机，以及Brembo刹车卡钳，还标配了舒享套装，但21英寸运动轮毂需要5000元选装有点没必要，而且这个价格会和Model Y Performance有直接竞争。而极越01 Max的定价符合更多人的需求，选装更丰富：追求续航可以用4.5万元提升到100kWh三原锂电池，从71.4kWh磷酸铁锂电池550km升级到720km的CLTC续航。对舒适性有要求还有1.5万元的舒享套装，前排座椅通风/按摩、Nappa真皮座椅、真铝装饰等配置都给装上了，只是虽然量大，但价格比蔚来舒享套装还贵几千，如果不讲究也不影响整体用车体验。至于19英寸轮毂花1万升级到21寸，还可能影响续航，就有点奢侈了。 9、目前极越在30+城市有45家体验店和20座交付中心，极越服务网络的数字在年底前会覆盖到120+城市。,2023-10-28,
汽车天涯,极越01这款车已经上市了，应该说优缺点都非常明显。 最大的优点，这台车用了不少的前沿科技，比方说无门把手设计，全部采用电动门，通过触控方式打开，很有未来感，智能驾驶方面，这台车也是率先运用百度的阿波罗系统，实现无激光雷达的纯视觉方案，在国内属于比较领先应用的量产车型，问界的ADS目前都还是需要有激光雷达的。 其他的方面，该有的也都有了，配置，动力水平都不低。 但是缺点，也是非常致命的，就是知名度和品牌号召力，百度和吉利都没有怎么投入精力去给这个全新的品牌曝光度，产品的外在设计也很难支撑的起这个顶配的售价，所以，目前不是太看好这台车的销量前景。,,
蓝羽飞枫,作为一款新车，还是有很多值得改进的地方是，首先转向灯设计不太合理，有点过度设计，这种触控式的，经常盲操找不到，建议增加凹凸感，让盲操更有信心。其次常出现智能操作上的一些小问题，这个厂家应该高度重视，及时升级和更新ota，将小毛病尽量杀死在萌芽中，最后希望极越01大卖特卖，期待2.0，3.0，n.0后的ota，盼越来越进化，越来越智能，越来越像真正有智力的机器人！,,
混纯门主,外观方面没得说，有自己的设计在，自觉侧脸最帅，内饰要吐槽了，多处逆人类设计，车机反应很快，就是系统 bug 较多，希望尽快 OTA 优化，加速升级，智能驾驶目前覆盖率较低，还得等待，希望越来越好！,2024-01-16,
三个司机,"极越01这款车推出了极越01 Max和极越01 Max Performance两款配置车型，售价为24.99万~33.99万元，其中极越01 Max最高续航720公里，极越01 Max Performance最高续航660公里。
这个价位直接面向的是中产阶级，续航能力表现还算不错，无论是日常通勤还是中长途出行完全够用，不用担心里程不足。

极越01是基于吉利SEA平台打造，智能化能力还是非常突出的，全系标配高通8295和双NVIDIA DRIVE Orin芯片，拥有先进的智能语音交互能力，智能AI伙伴SIMO，以最接近人与人的“自然交流”实现对整车系统的控制，还支持语音、手势、视觉识别等多模态交互，让驾驶者感到非常亲切。
另外，车里还有百度Apollo高阶自驾能力，听说Apollo的L4级自动驾驶安全测试里程已超过7000万公里，具备覆盖高速、城市等多场景下的高阶智能辅助驾驶能力，大家完全可以放心使用。

整车造型也非常时尚前卫，科技感十足，开在路上回头率应该不低。",,
30秒懂车,"由百度组建，并与吉利共同持股打造的集度汽车，如今第一款产品的首款车型已经正式上市亮相，新车为ROBO-01的探月限定版，指导价格39.98万元，定位于纯电的中大型SUV。以一个全新的品牌而言，价格确实较高，但有什么问题吗？只要产品力够硬，亮点足够突出，就有人愿意买单，这就是如今新能源领域消费观念的不同，所以你就不难理解，为什么那么多跨领域的企业，纷纷也要造车了。

以ROBO-01命名，ROBO也有着机器人的含义，能看出其产品特性，就是要向人机互联、科技智能化的领域发展，尤其是百度有自己的Apollo自动驾驶、有CarLife的互联系统、有百度地图的大数据及解析、还有着各类生态系统，因此，在智能化的表现、以及软硬件层面的协调，可想而知。其实不只是百度，像华为、小米、甚至是360等科技公司，也同样有意转型，这种现象也表明，未来的汽车绝不仅仅是代步工具，万物互联真的离我们不远了。

说回到产品，集度ROBO-01确实有着诸多看点。外观不必多说，属于新能源该有的科幻风格，AI像素大灯、2颗激光雷达，也表明了它的智能化；并且到了40万元的级别，内饰风格也做到了兼顾科技与豪华，氛围感无可挑剔，35.6英寸的6K一体化屏幕、U型方向盘、取消的换挡及雨刷拨杆，都是未来该有的样子。并且搭载的高通8295芯片，也算是目前汽车市场中，算力与AI学习能力的顶级。

当然，强大的硬件背后，就是软件的支持，与其它很多车型宣传的车机反应速度、使用流畅度、功能配置、App延展性等不同的是，ROBO-01已经在展现L4级别的自动驾驶能力、懂得情感的交互模式、以及更智能的AI自我学习能力，真的挺像是一台可驾驶的机器人了。

不过，就像之前提到的，虽然目前集度ROBO-01的到来，让我们惊讶万分，感慨时代的进步，但个人觉得，日后小米、华为等新兴造车势力崛起后，像这样的惊讶，只会越来越多。",2022-11-01,
汽车不emo,这台ROBO-01的车子我们是在城市展厅做了静态体验，简单跟大家分享几句。 外观设计还算是前卫，具体细节可以见图片，SEA浩瀚平台，很多朋友说和极氪001说同型车。如果是这样，那么我们是否可以猜测它的操控性能定会来的跟极氪一样出色？ 智能驾驶辅助配置这块非常定，细节大家看我们的视频可以。支持L4级的驾驶辅助，当法律法规开放后，这是一台可以几乎无人驾驶的车子。 内饰体验的了一下，感觉座椅填充是有些硬了，因为不是最终量产车，有时候电动门开关感应略迟缓。 元宇宙的概念让很多车子越来越科幻，越太空。这一次城市体验店还是推荐大家有空可以去三里屯转转。眼见为实，耳听为虚。,2023-02-19,
驾仕派,【外观】首先是个贯穿灯，它并没有和灯组结合在一起，而且两边的大灯组它都是激光大灯，造型也非常的好看，可以看到当它亮起来的时候还是非常犀利的。车头其他的部分线条感我觉得也是很强。比如说机盖向下倾斜的比较多，有种运动的姿态。还有就是整体其实有一点跟特斯拉model接近，拱形拱起来之后还是给人感觉比较的流线型的感觉；从侧面其实你就能看得出来它就是浩瀚架构的一款车型了，因为和极氪001长得还是蛮像的。宽车体、大轮毂、流线型，细看是不是个车没有门把手？他有8种方式可以打开车门，如果有机会的话我真的想体验一下这个门到底怎么开；车尾和极氪001也非常的像。大家可以看到个倾泻而下的尾部其实非常有层次感，而且灯组也跟车头有很大的呼应。其他部分我们就不用细讲了，它现在还是一个工程样车的阶段，接下来的量产车应该会在些方面做很多的细化。 【最满意】我发现一车它的摄像头特别的多，数了一下全车31个摄像头，还有两个激光雷达，也就说它在智能化方面应该是做的很好的。据说它搭载的是高通的8295和英伟达的Oran x个芯片，算力最高可以达到538TOPS，相比很多车型他在算力上面有非常大的优势。这也意味着智能驾驶、影音娱乐等等他应付起来都是游刃有余。,2022-11-13,
Top试驾,【最满意】 集度ROBO-1是百度和吉利联合打造的一台新能源SUV，使用的也是吉利的浩瀚架构。关于这台集度ROBO-1我最满意的地方就是它的车机还有辅助驾驶系统。车机方面使用了8295处理器，目前应该是天花板级别的了，而且车机的UI设计也非常“百度出品”，有那种大互联网公司的风格。 再有辅助驾驶方面，应该也会比同胞兄弟极氪001更好一些，因为目前我们见到的探月版的集度ROBO-1，在辅助驾驶硬件方面使用了2颗激光雷达，5颗毫米波雷达以及12个摄像头。 【最不满意】 首先外观方面，感觉集度ROBO-1缺少一些创新，前脸看上去会让人不自觉的想起智己汽车。同时在空间方面，感觉集度ROBO-1的后排空间没有001表现出色。,2023-02-20,
