字段1_文本,字段2,时间,字段3,时间1
我是传奇9977,混动模式真的不错，起步纯电，速度上来自动切换发动机，上班7公里，来回14公里，纯电能跑3天，市区混动模式不用发动机充电的情况下油耗6个左右，如果需要发动机充电，市区油耗9-11个，高速直接GTE模式，油耗6个多，还是边跑边充电，跑个200公里电就充满了，目前一直用D挡，起步就是纯电，速度上来自动切换发动机，感觉不到顿挫，只能听见发动机介入的声音，很满意，对我而言，20万买个这车，操控性很好，驾驶感受比日系好，地盘调教也很好，很满意，买车之前，看过皓影的混动，荣放混动，CRV混动，不太喜欢那内饰，落地价也比探岳混动高，索性直接买了探岳GTE，混动模式下，刹车4分之1的虚位，在踩点就能感觉到刹车了，能听到类似车轮带动发电机那种声音，就是动力回收，音响效果也不错，没有环绕音，毕竟这价格，前排座椅偏硬，后排座椅比前排软，其他没啥毛病，缺点没发现，总之感觉很好，对我而言，家用完全没有问题，操控，加速，空间，油耗，都很好，德国车的操控不用质疑，加速这个车0-100只用8秒以内，空间只要知道德国车的都知道，空间没的说，油耗吧，1.4T本来就不费油，还带个电机，变速箱吧6挡湿式的，我开的没感觉有顿挫，发动机吧211也是很多车搭载的，其他方面目前开的没听见哪有异响，总之很满意。,2022-05-18,晋城,
昔我往矣呀,第一印象是安静，平稳。接触探岳GTE之前几天开的是一辆排气管漏气的现代悦动，所以感觉开探岳像是开飞碟。 使用方面，纯电只适合20km内上下班通勤。 50km续航要充三个半小时，因为是慢充，不能用直流快充。所以最好有固定车位能装充电桩。我用的城投的路边充电桩，不太方便，覆盖率低。 后来开的车子多了，也就想着来评价一下，相对也客观点。 另外本人相对比较批判，所以只说不满意的地方了，没说的方面，基本就是和价位档次相称，或者非常满意 首先动力对我来说差点意思，1.4T混动才做到8秒多的零百，数据上就差了，实际体验上想达到我满意的加速，基本就要三四千转起步了，发动机略闷了。其实8秒多加速并不慢，但这个发动机给我的感觉好像很吃力的样子，于是就不太敢踩。 可能是心理作用，也可能是好车开惯了。时隔半年再次驾驶感觉没那么惊艳了。客观来说减震效果不错，但是路感基本没有，大点的坎坎还差不少意思。,2022-09-23,,
车天车地扯大炮,"探岳GTE是一款中型SUV， 豪华型是入门级配置，官方指导价20.98万。

保养方面，首保在5千公里的时候做，基础保养项目包括换机油和机滤，费用大约900元。二保的时候要加换空气滤芯，火花塞，费用就去到1900元左右。5.5万公里的时候做大保养，要做基础保养项目，还要换空气/空调滤芯，火花塞，制动液，发动机油和冷却液，价格就去到2600元左右。保养间隔时间比较合理，不会太频繁也不会间隔太长，价格也不算贵。

动力很赞，1.4T涡轮增压发动机配85千瓦电机，综合扭矩400N牛米。纯电里程54公里。起步或者低速跑动的时候，纯电模式的优势明显。加速轻快而线性。脚踩油门动力如影而至，红灯转绿灯的时候一下子就可以跑出几个身位。而且相当安静。油门踏板进一步深踩的时候，发动机会根据情况介入，这个时候动力就相当充沛了还会有明显的推背感。高速跑动轻轻松松，超车并线也完全没有难度。120公里/小时要加速动力也有远远不绝的感觉。

前是麦弗逊式独立悬挂，后为多连杆式独立悬挂。悬挂调教偏舒适，悬架行程也稍长，对于路面颠簸的吸收能力不错。过普通城市路面遇到小凹坑的时候，震动被悬挂完全吸收。即使过大片的坑洼的时候，悬挂也很好地化解路面的冲击。在车内没有摇晃的感觉。底盘质感还不错，但是车身重心稍高，中速过弯的是时候车身不够紧致，车身姿态一致性不够好，会有一定的侧倾。",,,2021-04-22
玩车教授,"外观上，探岳GTE的大体轮廓跟探岳一致，区别在于一些外观上的细节上，另外采用GTE专属的星辰蓝车色，德系设计一如既往的工整、精美、大气，探岳GTE的整体造型相当耐看、顺眼。GTE是大众全新的新能源系列车型，有多处“GTE”标识，GT意为Gran Turismo，E代表electric，是大众集团新能源家族的身份标识。

在尺寸上，探岳GTE是标准的中型SUV身材，车身尺寸比起竞品没有太大的优势；但是话说回来，插电混动的中型SUV也屈指可数，这个细分市场里面，探岳GTE的尺寸也没有太大的劣势。

进入到车内，内饰采用非对称布局，采用米白色内饰，整个氛围很居家，于燃油版探岳最大的不同是方向盘的造型，新款造型融入磨砂质感的金属饰板，更具科技感。银色是内饰视觉效果的主基调，饰板采用磨砂铝质点阵花纹，也是为了契合新能源汽车的气质。

内饰用料上，软的部分并不多，但身体接触频率较高的都是皮质用料，虽然硬的部分较多，但车内所有的用料质感都比较好；更能体现内饰触觉工艺的是各个饰件的做工和间隙，相当精密，高级感从细节凸显出来。

动力方面，大众探岳GTE搭载的是1.4T涡轮增压发动机+电动机的插电式混合动力系统，对比竞品的动力参数均为综合功率换算的马力，昂科威我们只实测过1.5T版本，2.0T版本待测，对比的另外两款车之中，跟途观L插混版的动力总成是差不多的，理论上测试表现也差不多。需要指出的是，在测试路面有轻微湿滑，而且是在电池没电的情况下测得了比官方还快的8.3秒，如果是满电的状态下，跑进8秒问题不大。

实际体验下来，本身1.4T发动机放在探岳身上就已经够用，得益于账面数据可观的电机（85kW/330N·m）加持，爆发力之充足，使得探岳GTE平添几分激情，迅速而直接的提速，动力体验上不输380TSI的探岳。

混合动力模式下，可以设定电池维持模式，主要让发动机驱动，保持电池电量；也可以通过充电模式为蓄电池充电，可以让驾驶者自由控制电池电量；这套能量管理系统跟宝马的eDrive有异曲同工之妙，非常科学而且合理。

低电量情况下的表现值得点赞，上文加速测试可以看出，低电满电的动力表现差异不大，因为电池会保留一直保留小部分电量，以保持整套动力系统有充足的动力表现。所以你不必担心电池没电之后会发动机会小马拉大车，也不必担心过高的油耗，这是探岳GTE这套插混系统的成熟之处。

同时，大众的双离合变速箱已经是业内标杆产品，搭载DQ400e湿式 6挡双离合让人更放心，由于低速半油门以上都会是纯电或者是混动行驶，这就巧妙地这个最容易产生顿挫的工况，当深踩油门需要急加速时，发动机转速已经去到2000转，进入双离合高效平顺的转速区间，这套动力系统使得探岳GTE的驾乘体验更平顺、更安静、更高级。",2021-03-08,,
四轮儿车,外观方面 探岳GTE车型是基于普通版探岳打造而来，定位于中型SUV，车头中网以黑色为底上面带有一个贯穿式镀铬装饰条，下杠是大众新能源独有的设计，“C”字型的日间行车灯极有辨识度；配18英寸低风阻轮毂，尺寸适中，车尾主要是下杠有变化，带有双出假排气装饰和中间仿导流槽的设计，有一丝运动的感觉。 内饰方面 内饰的设计是大众家族化设计，相比普通版探岳方向盘更为先进，有10.3英寸全液晶仪表盘和8英寸多媒体屏幕，座椅及门板融入一些蓝色的线条，代表新能源的身份；中控台做工还是以软搪塑和硬塑料为主，其实不太能达到25万车价的水准。 配置方面 配置上有很大的惊喜，以顶配车型尊贵版为例，带有主动安全相关配置、自适应巡航、自动泊车、方向盘加热、前排座椅加热和通风、全LED大灯及自动空调等，第一次在大众这个价位车型见到方向盘加热和座椅通风。仍有不足：没有360度全景影像、前排座椅记忆及自动雨刷，作为顶配车型这几项实用性的配置应该有。 乘坐及空间 后排腿部空间非常充裕，加长的途观L也就这么大，全车的坐垫软硬适中，后排坐垫支撑性很好，在同级别车型里舒适度属于上游水准；后备箱容积413L，尺寸上不如普通版探岳大；后排配置上有后排独立空调和两个USB接口。不足：1、后排没有隐私玻璃，竞品车型很多都带有；2、后排地台有鼓包，影响中间乘客舒适度。 行驶感受 搭载1.4T发动机加85kW的电机组合而成，匹配6速湿式双离合变速箱，综合功率为155马力，综合扭矩为400牛·米，带有13度的电池组，工信部续航里程为54km。1.4T发动机在输出端串列了一个85kW的电机，然后动力经过变速箱进行混动的动力输出，因为变速箱在发动机和电机中间，车辆可以实现纯电行驶；另外还有GTE模式，发动机和电机以全功率进行输出，这个模式下动力比2.0T动力来的直接，所以这套组合是经济和动力比较折中的搭配方式。悬架比较软，配上厚胎壁的轮胎让这台车悬架很舒适，有些偏向美系车的风格，以家用舒适性为主。不足：它的电池组只支持慢充，不支持社会公共充电桩的快充，所以买车前提是必须得有自己的慢充充电桩。 总结 探岳GTE这款车配置比较高，动力组合在经济性和动力输出上有一个很好的平衡，针对的用户是以市区行驶居多，如果常跑高速不太建议选，另外就是得有家用独立的慢充充电桩，只有满足这些条件才能发挥出这台车的价值，根据优惠完的价格建议选尊贵型。,2021-02-25,,
春雷乃发,【外观】：本人选择的是白色，在各种细节亮点的点缀下——轮眉描黑、中网标志、大灯细节、门侧金属标、侧底黑边、引擎盖线条、漂亮的轮毂等，让本来中规中矩的SUV车型，更富有锐意进取但又不显张扬的感觉，也许这就是一个刚迈入中年的人最好心态的写照吧。 【内饰】：氛围灯的设计，让每一个人进入感特别强，特别舒适。车内环绕的灯光整体呈蓝色，迎宾踏板呈白色，外加投影到地面的“GTE”字母，让人有一点点的得意，但又控制得恰到好处，避免了花里胡哨之嫌。这种亮点在仪表盘表现得特别淋漓尽致，黑色背景加蓝白色调的指针数字，让人迫不及待地想让数字跳动起来，去马路上拉风一把的冲动。 【配置】：不是专业汽车认识，就自己的驾驶体验来评价。首先要吐槽电子液晶大屏的内容设计没有与时俱进，导航系统更是给人回到了5年前的感觉，直接被手机导航秒杀。豪华版应该没有网友看重的Acc等先进自动驾驶功能，但作为一个刚升级改善的手动挡司机来说，方向盘上的功能键等配置都够用了。尤其是定速巡航，用起来还是非常方便快捷。最后，随车赠送的家用充电线，也算是考虑周全，在后备箱的垫子下面，网上买一根老贵了。 【空间】：后备箱略微小一点，但也已经够用了。驾驶室腿部空间一般，不是非常宽敞，幸好自己就喜欢腿靠在边上驾驶。座位如果靠前，驾驶员入座可能会碰到头部，需要歪一下头，但就座后座椅的包裹性非常好。副驾驶和后背空间都是非常充裕的。 【操控、动力】：按一下GTE按钮，瞄一眼仪表盘，点踩油门奋勇而出，再加上方向盘的精准，指哪打哪，变道超车有快感。而且GTE模式既可以运动暴力，还可以能量回收，大大弥补了电续航短（51公里）的不足，更难能可贵的是油耗居然只有7个左右够了。换挡档把有能量回收的功能，就是在D位上往后拉一把，这让开惯了手动挡的我，不安份的右手有了一个归宿感。有空没空，拉一下能量回收，温故了手动挡回忆，又间接充当了刹车功能，这感觉很有操作感。 【舒适】：其他都好，就是感觉底盘有点硬，颠簸的路上，震动感强烈。电动模式，在平整的路面上看，非常安静。 【其他】：充电盒的安装，是在自己一次次地申请中收获的，而且电缆在超出30米的那一部分额外收费49元每米，幸好安装工序非常专业，师傅也很敬业，就当是买了一次服务吧。51KM的电力续航，短了一点，而且空调和座椅电加热尽量不要用，不然续航缩水很快。 这就是我目前的用车感受，感谢各位看官，期待Gte的车友越来越多。,2021-02-07,绍兴,
开自家小岳,探岳Gte我看了很长时间，才决定购买的，他比唐，宋长续航的纯电续航里程要短，但是Get的驾驶感受是唐和宋给不了的。而且颜值比较高，运动外观让我一眼就喜欢上了，在同级别车里，空间对有二胎的家庭绝对够用，后排空间175cm的人不会感到拥挤。动力比较充足，不会让人感觉到是1.4的发动机，Gte模式下推背感十足，驾驭感十足。纯电模式，安静舒适，短途就是一辆纯电车，非常经济。车内储物空间够用，我给中央扶手箱买了一个隔层，空间更大了，车门上的储物空间够用， 唯一美中不足的是后座边上的储物盒不知是干什么用的。后备箱有点小，毕竟电池占了一部分空间。总体来说，Gte油耗低，空间够用，科技配置够用，车辆外观比较运动，20W预算的值得拥有。,2022-04-21,天津,
风中萤火翀,购车经历： 深圳从开始摇号一直到到现在，次次落空，加上刚性需求，没有办法了，所以干脆不要了，直接上新能源，因为老家比较远，纯电不太方便，所以直接放弃了，只能考虑混动了！ 刚开始去看了宋DNI，也试驾了，配置丰富，功能多，大屏看着确实舒服，国产车确实越做越好了，唯一不足的是等车得4个月！所以只能放弃了！ 其它车型混动也去看过，感觉同价位配置差点！ 本来一直有个大众梦，以前心想中牌买速腾的，一直等，速腾都换了几代了，也没有中，朋友也提了速腾，空间油耗确实可以！ 一直喜欢探岳的油车，无奈没牌，最后只能去买GTE了！ 选好后，天天各种平台看，4S店也去了好多家，试驾，各方面都觉得还可以，最后就到了坎价阶段！ 换三家问过了，只能选最便宜的一家了！ 有一台12月的，没有要，优惠更大点，选了一台6月30的出厂，刚到店的！主要是怕电池包有问题，所以选近一点的！(其实没啥影响)个人喜欢而已！ 后来就是定车，看车，选牌，直接网上一次选了，省的麻烦，我也不用临牌，等一起弄好在去提！ 只能说试驾感受，因为没有拿到，所以更深的体会，空间比较大，唯一缺点，后排隆起有点高，其它到好，配置丰富，座椅舒服，缺点前排没有软包，硬塑料，拉低档次，不过是DZ一惯风格！前脸漂亮，全系LED光源，c字日间行车灯（我更喜欢油的⭕️）。动力完全够用，特别GTE模式，加速，起步都挺猛，唯一缺点邮箱太小，47L不过也没有办法，要放电池，只能牺牲一点邮箱了！后备箱空间还可以，全系电尾！舒服！ 目前没有正式提车，也不知道续航和油耗！ 只能购物体验完高速大家了！,2021-08-16,,
瓦罐菜,外观见仁见智，符合我的审美，内饰虽然不是最理想的，但比之前的老雅阁还是上了几个档次，空间不得不说丝毫不比雅阁差、但是座椅偏硬，没有日系的软，动力如果有电的情况还是比较猛，亏电和我2.0自吸雅阁差不多、因为还没上过高速不知道高速效果怎么样，还有一点吐槽的就是刹车比较软，类似中间踩20-50%这段没有刹车力度，新手需要特别注意，配置几乎打满，一键启动，无钥匙进入，座椅加热通风，L2级驾驶辅助，后视镜加热折叠，倒车影像雷达等都有，表演后排座椅可以前后调节、靠背角度也可以调节，后备箱容量中等偏上，不算太大，注意下面备胎位置安放了邮箱、地台一点高，还有感应后备箱不太灵敏，经常能扫开但是扫不关🥲，总体来说比较满意的！,2021-12-17,深圳,
雨落0869,"【驾驶感受】
我觉得还可以，女孩子嘛，懂得不是很多，但是！这个刹车太软了，要提前好久踩刹车，习惯了也就觉得还行。

【空间表现】
空间还是很大的，对于我来说足够了
【续航】
电续航不太行，充满显示60，我感觉开不到60就没电了，不过无所谓啦，反正有油，也是为了绿牌
【提车价格】
价格我记得不太清楚了，好像是18万多吧，全办好落地20万
【购车经历】
最开始看大众的时候没看探岳，看的宝来，觉得宝来太丑，一眼看中了ID4，都劝我别买纯电的，没安全感，最后看了一眼探岳，我就喜欢上了，价格各方面都在我的预期内，后来去看了别的车，还是觉得比较喜欢探岳，因为喜欢suv，这个价位插电混动的suv还是比较少的",2021-12-21,杭州,
用户3794584104979,"【驾驶感受】
动力随叫随到，纯电模式下特别安静（关闭音浪，个人不太喜欢，除非在小区或闹市，给行人听！），GTE模式下又转换成猛兽，第一次开还把自己吓了一跳，直接原地挠轮，抬头起飞！

【亮点配置】
顶配确实不错，自适应巡航定速、各种辅助，加热，特别是加热，对于北方天气很有用。
【空间表现】
空间整体还可以，乘坐空间充足，毕竟是SUV，但是后排座椅调至最后，后备箱整体的空间不是很大。
【续航】
纯电续航没有官方发布的那么多，毕竟平时开空调，但是上下班19公里路程，完全够用，每天基本到家还能剩20多公里，如果有充电的地方每天充电，完全不用油。
【最不满意】
也是续航，今天第一场大雪，气温骤降，续航好可怜！！！估计也就不到30公里，和全程低速，开空调也是有原因的。",2021-11-08,沈阳,
恺撒大神,探岳Gte纯油混动7.5L/100ml，亏电跑比较多，城市里比较堵，如果有电的话，一般3L，目前跑了1700公里，换挡平顺，空间表现一般，比途观L后排短一点，驾驶感受比较好，电机和发动机配合完美，基本切换感觉不到，家用还是比较可以的，可能就是相对油车来说省一点，动力强劲，400n的输出，踩油门随时都有动力，5种模式，纯电，混动，Gte运动模式，充电模式，电量维持模式，最常用的就是混动模式，有电的话短有充电桩建议纯电模式，gte模式油耗大，动力强劲，自动充电，土豪用的比较爽，充电模式不建议用，油耗量大，动力能明显感到弱鸡了，电量维持模式不知道是什么开了还是掉电，应该和混动差不多，这个车就是能体验电动车和油车的双重感觉。,2021-12-18,乌鲁木齐,
小小小飞侠123,前外观耐看前脸最为满意，尾部稍微有点中庸，但是不难看。内饰科技感十足配上氛围灯，很满意，就是这些类似于烤漆面的外表太容易刮伤，没用多久就出现各种划伤或者擦出来太阳纹。配置非常全面，几乎都有，就是这个主动刹车太灵敏，下地库总误判刹车。空间方面很宽敞，但是后背箱储物能力差一些。没放多少东西就满了。方向盘非常轻盈，很轻松不累。动力方面，gte模式非常强悍，有电驱动起步加速很轻松很有效果不费劲，但是馈电了加速就没有那么好表现了。后排座椅乘坐很舒适，但是驾驶员座椅总是感觉不太舒服。混合动力非常科学。短途长途都能应对，用电经济，就算馈电，油耗也能在6-7个油左右。很经济。家里车位有充电桩，上班几乎不用油。,2021-11-12,沈阳,
空空空Oo,本来是看迈腾GTE的，但是没现车，同事推荐这款车，第一眼就相中，无论外观内饰个人都觉得好，小孩看到车也非常喜欢。空间也很不错，至于动力的话看个人需求，我感觉是足够，纯电模式真的很安静，出现过一次启动后还以为没启动又按多一次，也出现过下车的时候以为停了，然后一直锁不了车才发现还在启动，提车到现在才开了不到500公里，其中还是近期跑了一趟高速350多公里，开的少，目前还没研究出五种模式怎么开才省油，而且没有充电条件后期基本是当油车开，混动模式充不了电就有些遗憾，GTE模式属于运动模式，像我这种比较温柔的 估计会很少用，明天试一下全程混动模式，看看油耗去到多少，纯电感觉刹车很软，个人感觉纯电模式挂B档应该会更好。,2022-01-03,深圳,
时光之晨1993,三十而立，自己下定决心今年要买辆车了。期间也看了很多车，轿车，suv都有，最后因为价格区间，绿牌，续航等综合原因，选择了这款车。在懂车帝，微信群观望了很久，终于趁着活动下定了，送了贴膜，记录仪，360，等了1个半月，终于销售通知提车了。激动呀。提车后，表显7公里。目前开了400多公里，一直没充电，主要城市交通，总体驾驶我觉得还行，目前油耗7.1L，自己还比较满意了，毕竟新手小白。所谓的车联网，真的渣渣，基本上用不上，看个续航都费劲，经常刷新不了。另外就是没有无线充电，准备淘宝买个买个无线充电安装一下。前两天刚安装了充电桩，第一次充满电，续航56公里，还没开，不知道实际续航怎么样。昨天牌照也寄到了，一切就绪。,2022-06-22,杭州,
用户9019267551851,"车的整备质量就有待市场验证了！其他都还好吧！

目前38000了没出现过一次小毛病！
工作比较特殊用车比较频繁！

我也不是很爱惜车的人，一直当工具使用！没觉得要怎么呵护怎么去爱惜它！正常保养就好了！

唯一觉得不太好就是后备箱太小了！要是有4驱就好了！经常喜欢去钓鱼！钓的很野的那种有4驱就有保障了！有次去钓鱼差点出不来了！

纯油动力还是有点弱！还有就是轮胎（原厂的）非常容易卡石子，关键车子没备胎，就怕半路轮胎出问题，那估计要泪奔了？

油耗的话不高！油贵的时候估计5毛左右/公里，
有电的情况下油耗就非常友好！3毛左右/公里，
纯电很少用，因为电也跑不了几公里！


最后说下估计后期不保值吧！不是为了这个牌估计不会买这个车！现在用过了，就目前没后悔过，因为这个车也给了我一个正常用车的保障？",2021-12-06,深圳,
机智的奶酪3E3,动力强，超哥提速啥的，动力基本随踩随有 座椅通风 ACC自动巡航 在跑长途高速的时候用处很大，还有车道保持系统，大大缓解长时间驾驶的疲劳，高速基本维持在6.8-7L/100km左右（车速基本定在120km左右）7月10号跑高速，120km的时候踩到一根钢筋，右后轮胎压直接从2.6降到0，车上还满载5个人，可能是因为是后轮的原因 整个过程车身一点晃动都没有 ，因为车上没有备胎，只能叫高速救援，花了300多大洋，后面到4儿子店了解到车胎这种情况下已经算是爆胎了，没法修但是四儿子店说没有这个轮胎的现货，要等四天，后面就从外面花了600多买了一个装上将就用，总之开了两千多公里 这个车整体感觉不错（这钱花得不亏），据说整个车身平台和Q5是一样的（咱也不知道是真是假）,2022-07-12,深圳,
冷麟锋,【空间表现】 本人身高1.8米，前排头部和腿部空间都有一拳多富裕，后排头部一拳，腿部两拳半，后排中间坐垫偏硬，腿部中间有隆起不舒服。 【续航】 纯电续航春夏秋季基本都在50公里左右，纯油模式基本都用在高速公路上，纯油续航在750公里左右，满油满电能跑800多公里。 【油耗】 纯电模式下的电耗在15kw/h左右，混动模式下的油耗基本在4L左右，高速纯油模式下的油耗在6.5L左右，充电模式没用过。 【智能化】 缺少360环影，车联网OTA，手机远程启动，不算智能化吧…… 【最不满意】 内饰塑料太多，后门上靠玻璃那都是塑料，冬季行车有异响，前轮减震异响 【购车经历】 本人金牛座，首先征服我买车欲望的是车身rline外观，其次是空间和品牌 【提车价格】 相对于牌照有指标的城市而言，价格基本在我的理想范围内。,2022-05-08,无锡,
用户3207032945358,刹车偏软，没电状态下提速一般，悬挂感觉一般。 续航讲真的，在限牌城市，绿牌主要目的是通勤，当然，家里有条件安装充电桩是极美的，我没有条件装充电桩，交流电需要3.5小时充满，且需要每天充，目前为止，我冲过一次电，其余全是用油，油耗6个左右，我也不棉花脚。,2022-11-03,深圳,
用户2953448661973,开着中规中矩，内饰比普通大众稍具科技感，充电3小时续航30km还是混合动力模式开着好大概200km内油耗3左右,,宁波,2022-06-22
用户9890386549933,【整体感受】外观，内饰这种东西比较主观，萝卜青菜各有所爱，大家自己喜欢就好，反正探岳GTE我是挺喜欢的，操控性我觉得也挺不错的，开起来觉得很稳，很流畅，动力够用，跑高速的情况下想超车超的更轻松可以开GTE模式，不开的话跟普通纯油车差不多的感觉。纯电续航应该在40左右吧，从空充满电大概9-10度电，3-4小时，日常市区+高速通勤上下班油耗5.2，电耗没太注意好像也是4-6度的样子。整体来说这车我开了一年半还是很满意的。 【空间表现】之前去宜家买了那个两米长的桌面，车装下了。 【智能化】车机自带的地图不怎么样，我上淘宝买了个华为Hicar模块连车机上，然后无线连手机，体验很不错。 【不足】个人觉得明显不足有两点：1.充电口在车头。这点主要影响充电时候停车位比较麻烦，很多充电线不够长，就要把车头塞进去，就不好停车……个人感觉还是充电口在后面会好很多。2.前雷达有点太敏感。个人怀疑车头的前雷达安装的离地高度有点低，有的车库下坡比较陡，又在坡尾马上有个减速带，速度快了的话会引发自动刹车，有时候开在路上前雷达也会突然报警一秒钟的样子，可能是路上有什么凸起吧，挺车位的时候，车位里卡车轮的凸起，不管前后雷达都会被探测到。 别的基本没什么了，整体来说我还是很满意的。,2022-01-12,深圳,
顺风朱,这款车整体来说还可以的。 有电的时候动力不错，亏电状态下也还行。 刹车有点软，刚开始要适应，习惯了之后也还好。 操控也还不错。 油耗也还行吧，毕竟车有那么重。 乘座空间还是可以的，后背箱的空间其实也够用，一家人出行问题不大。 整体配置在大众系里面算是比较高的了。 外观看起来比较大气丶实尚，有一定的设计感。 不知道为什么就是卖不好，可能是大家对大众的油电车缺少信心吧。 不过我们园区还是有好几辆的，另外一个同事也买了这款。 其实我也是因为B牌的原因换的混动，摇号摇得没信心了，摇了五六年也没看到希望！ 也看了很多款插电的车，合资里面也没看到什么很满意的，可选择性太小，这款算是整体满意度最高的了。 本来也考虑过自主品牌的，也看了一些，女主人不同意，所以也就没考虑了。 其实刚开始也没准备买这款车的，五一去逛商场，去得比较早，商场还没开门，旁边刚好有一些4S店，就去逛了逛，看了这款车并试驾了，感觉还可以。 在对比了一些车之后便最终选了这款。,2021-11-14,深圳,
梁小末700,外观白色显年轻，内饰用上最新设计，配置对得起20万级别价格，空间很大，大，续航最多60最少45，智能化一般般，只能说够用！,,邢台,2022-08-18
飞,"订车前看了途观贵，丰田续航好价格贵外观丑内饰丑，crv噪音大油箱小。对比下来探岳尊贵裸车22.48w，性价比最高！果断订车。
优点： 
外观拉风。车漆好。空间大。后排座椅可前后移动，可折叠放平。
配置超高！全景天窗，前排座椅电动，腰部支撑，座椅通风加热，车道识别，变道辅助，自动巡航，方向盘加热，感应电动尾门，迎宾灯，电动耳，空气净化。能想到的配置基本都在，比40万合资车配置还高。探岳大灯是奥迪进口的…
GTE模式动力十足，油耗不高同时还能充电。
没电情况下混动模式油耗5.5-6.5。
有电情况下混动模式油耗1.8-2.3。
在混动模式下，电机和发动机智能切换，无顿挫噪音。
纯电续航可以50-60不虚标，尤其堵车时用纯电或有电混动模式可以省好多油，每天通勤65公里，一箱油可以用两个月，香。",2022-03-09,上海,
关门放狗63001323281,油电混动，最喜欢是起步时的安静平稳，驾驶质感提升了，乘坐舒适感出来了。本人和家人都很喜欢。动力足够，在城市道路行驶、起步，油门踏板稍重一点纯电模式下就能快速起步推背感十足。假如红灯线前GTE一开，大脚油门起步，车头上扬前轮打滑，秒甩一条街的车。车加速心跳也加速！ 操控方面，方向轻柔指向性好，配合车道保持辅助习惯以后增加安全驾驶因素。刹车很线性，配合动能回收，省刹车皮、刹车盘。安全配置足够了，自动杀停功能避免了多次的车屁股做漆，原厂原漆保留至今。 温柔、正常、暴力驾驶都试过，一年半下来，3万多公里未出现致命的毛病，无非灯珠坏一颗，冷却水泵坏一个等小毛病，4S都全部搞定。电池几乎每天都充电，加一箱油最长历时2个多月，跑过3000多公里。连电费油费算下来，每公里2毛不到。自从开了这车，油价从没有关心过，涨到10元对我来说心里都不会有一丝的涟漪。电池也感觉不到什么衰减，最高续航到过61公里，最低也有46、7。 车无完车，总体使用下来还是给人有足够的信心去驾驭个8年、10年的。还是比较看好这款大众。油车开了个十来年，换个插电混动的再开个十来年，最后换个纯电的再开个十来年，这辈子也就差不多了吧。,2022-01-10,昆明,
张食堂狂,中规中矩的插混车，较同级空间有优势，底盘及悬架较同级不会成为短板。缺点纯电续航短，无快充，机车智障，软件更加智障。,,成都,2022-09-24
快乐泥石流,这个车整体还是不错的 动力方面：虽然是1.4T，但是加上电机的加持，整体动力充足。高速路段轻轻松松到140km/h，最高达到过200km/h。 油耗方面：城市路段由于有电机起步，就算是亏电状态，整体油耗让人满意。平均油耗在5.8L/100km吧，亏电城市路段在8L/100km左右。 噪声方面：城市路段噪声不明显，在高速上超过150km/h噪声开始明显，如果有横向风120km/h以后就会显现。 空间方面：前排空间相当富裕，后排两侧储物槽实在是没用，取消掉延长座椅宽度多好。 可以上新能源指标，不限号。 没有互联网车机。。。。 建议： 厂家最好设置一个纯电起步模式，其他路段用油，这样对一些充电条件差的朋友有益。 刹车比较软，打开动能回收才属于正常脚感，建议新手朋友留心，多踩一踩适应一下。,2021-11-25,北京,
王治平88839116,【续航】 冬天20来公里 有点太低了 不知道等夏天能到多少 吐槽下充电口的位置。。。,,烟台,2022-01-28
你瞅啥瞅你咋滴152909574,大小没得说，后排三拳左右，但是智能化可以说是没有吧，车机也只能听歌，看视频都不行，但是这车跑起来没有问题，不会说突然坏在半路,,沧州,2022-05-22
用户7388414427727,平日主要以纯电行驶为主，快速路或者高速用GTE模式，选择探岳GTE的原因主要是因为操控比较像油车，不会有油门很窜的感觉，刹车中前段主要是能量回收，偏软，适应之后还可以,,深圳,2022-11-17
乐歌辞,【空间表现】整体乘坐空间还可以，但是尾箱小了一点点，但是也够用了。 【续航】纯电续航少了点，基本3天一充，只是上下班用，有充电桩挺好的。 【油耗】提车就跑了高速，全程500公里GTE模式下来大概6.5个油左右。 【智能化】智能化一般，用无线CarPlay 有很多次死机黑屏。 【最不满意】最不满意的是提车12天左右馈电下底盘异响，起步和低速抖动，伴随着异响。充电后好一些，到没有提车时那种流畅感。解决办法一直无果。,2022-07-23,长沙,
easy888831,坐标成都，绿牌不限行实在是好用，其实个人觉得途观L的混动更好看一些，但是途观L的配置少一个并线辅助和胎压显示，而且找了朋友，探岳GTE给了个无法拒绝的价格，最终选择了大蓝，但是不后悔，车确实香，要是有快充就完美了。,2022-01-01,成都,
虚拟中的现实,人生第一辆车，20万预算想体验纯电又怕跑长途续航不够，所以买了当时选择不多的这辆插电式混动，充电满足每日上下班需求。不过1.4t和纯电用起来是2种操作体验。颜值感觉很好看。总之开了2年多不后悔！,2023-12-06,苏州,
用户4186691584865,异地购车，买完以后从北京开回淮安，全程860公里，提速个人感觉挺快，开起来轻盈；油电切换非常平顺，油耗满意860公里（市区80公里），花费油费360元，其中用油给车加满电2次。,,北京,2021-01-18
WayWang王,家用代步总体来说还是处处有余，空间感人，唯一美中不足续航短了点，不支持快充，其余无槽点。仅代表个人观点和需求。,,广州,2022-04-21
